Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Moussa Diabate,Charlotte Hornets,Miami Heat,Points,8.5,107,DraftKings,OVER,,,
Moussa Diabate,Charlotte Hornets,Miami Heat,Points,7.5,-136,BetMGM,OVER,,,
Moussa Diabate,Charlotte Hornets,Miami Heat,Points,8.5,-137,DraftKings,UNDER,,,
Moussa Diabate,Charlotte Hornets,Miami Heat,Points,7.5,100,BetMGM,UNDER,,,
Brandon Miller,Charlotte Hornets,Miami Heat,Points,20.5,-111,DraftKings,OVER,,23.0,1
Brandon Miller,Charlotte Hornets,Miami Heat,Points,20.5,-118,FanDuel,OVER,,23.0,1
Brandon Miller,Charlotte Hornets,Miami Heat,Points,20.5,-105,BetMGM,OVER,,23.0,1
Brandon Miller,Charlotte Hornets,Miami Heat,Points,20.5,-115,DraftKings,UNDER,,23.0,0
Brandon Miller,Charlotte Hornets,Miami Heat,Points,20.5,-108,FanDuel,UNDER,,23.0,0
Brandon Miller,Charlotte Hornets,Miami Heat,Points,20.5,-130,BetMGM,UNDER,,23.0,0
Jaime Jaquez Jr.,Miami Heat,Charlotte Hornets,Points,11.5,-106,DraftKings,OVER,,13.0,1
Jaime Jaquez Jr.,Miami Heat,Charlotte Hornets,Points,11.5,-109,BetMGM,OVER,,13.0,1
Jaime Jaquez Jr.,Miami Heat,Charlotte Hornets,Points,11.5,-121,DraftKings,UNDER,,13.0,0
Jaime Jaquez Jr.,Miami Heat,Charlotte Hornets,Points,11.5,-125,BetMGM,UNDER,,13.0,0
LaMelo Ball,Charlotte Hornets,Miami Heat,Points,23.5,-105,DraftKings,OVER,,30.0,1
LaMelo Ball,Charlotte Hornets,Miami Heat,Points,22.5,-108,FanDuel,OVER,,30.0,1
LaMelo Ball,Charlotte Hornets,Miami Heat,Points,23.5,-109,BetMGM,OVER,,30.0,1
LaMelo Ball,Charlotte Hornets,Miami Heat,Points,23.5,-122,DraftKings,UNDER,,30.0,0
LaMelo Ball,Charlotte Hornets,Miami Heat,Points,22.5,-118,FanDuel,UNDER,,30.0,0
LaMelo Ball,Charlotte Hornets,Miami Heat,Points,23.5,-125,BetMGM,UNDER,,30.0,0
Pelle Larsson,Miami Heat,Charlotte Hornets,Points,8.5,-118,DraftKings,OVER,,6.0,0
Pelle Larsson,Miami Heat,Charlotte Hornets,Points,9.5,-130,BetMGM,OVER,,6.0,0
Pelle Larsson,Miami Heat,Charlotte Hornets,Points,8.5,-108,DraftKings,UNDER,,6.0,1
Pelle Larsson,Miami Heat,Charlotte Hornets,Points,9.5,-105,BetMGM,UNDER,,6.0,1
Miles Bridges,Charlotte Hornets,Miami Heat,Points,15.5,100,DraftKings,OVER,,28.0,1
Miles Bridges,Charlotte Hornets,Miami Heat,Points,15.5,-113,BetMGM,OVER,,28.0,1
Miles Bridges,Charlotte Hornets,Miami Heat,Points,15.5,-127,DraftKings,UNDER,,28.0,0
Miles Bridges,Charlotte Hornets,Miami Heat,Points,15.5,-121,BetMGM,UNDER,,28.0,0
Kel'el Ware,Miami Heat,Charlotte Hornets,Points,8.5,-119,DraftKings,OVER,,12.0,1
Kel'el Ware,Miami Heat,Charlotte Hornets,Points,8.5,-120,BetMGM,OVER,,12.0,1
