Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Oso Ighodaro,Phoenix Suns,Portland Trail Blazers,Points,5.5,-110,DraftKings,OVER,,3.0,0
Oso Ighodaro,Phoenix Suns,Portland Trail Blazers,Points,5.5,-116,DraftKings,UNDER,,3.0,1
Jerami Grant,Portland Trail Blazers,Phoenix Suns,Points,8.5,-113,DraftKings,OVER,,16.0,1
Jerami Grant,Portland Trail Blazers,Phoenix Suns,Points,8.5,-120,BetMGM,OVER,,16.0,1
Jerami Grant,Portland Trail Blazers,Phoenix Suns,Points,8.5,-113,DraftKings,UNDER,,16.0,0
Jerami Grant,Portland Trail Blazers,Phoenix Suns,Points,8.5,-114,BetMGM,UNDER,,16.0,0
Collin Gillespie,Phoenix Suns,Portland Trail Blazers,Points,8.5,-102,DraftKings,OVER,,5.0,0
Collin Gillespie,Phoenix Suns,Portland Trail Blazers,Points,8.5,-125,DraftKings,UNDER,,5.0,1
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Points,16.5,-118,FanDuel,OVER,,20.0,1
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Points,17.5,-105,DraftKings,OVER,,20.0,1
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Points,16.5,-127,BetMGM,OVER,,20.0,1
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Points,16.5,-108,FanDuel,UNDER,,20.0,0
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Points,17.5,-121,DraftKings,UNDER,,20.0,0
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Points,16.5,-107,BetMGM,UNDER,,20.0,0
Royce O'Neale,Phoenix Suns,Portland Trail Blazers,Points,6.5,-117,DraftKings,OVER,,7.0,1
Royce O'Neale,Phoenix Suns,Portland Trail Blazers,Points,7.5,-112,BetMGM,OVER,,7.0,0
Royce O'Neale,Phoenix Suns,Portland Trail Blazers,Points,6.5,-109,DraftKings,UNDER,,7.0,0
Royce O'Neale,Phoenix Suns,Portland Trail Blazers,Points,7.5,-122,BetMGM,UNDER,,7.0,1
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Points,10.5,101,DraftKings,OVER,,,
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Points,9.5,-129,BetMGM,OVER,,,
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Points,10.5,-129,DraftKings,UNDER,,,
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Points,9.5,-106,BetMGM,UNDER,,,
Shaedon Sharpe,Portland Trail Blazers,Phoenix Suns,Points,9.5,-112,DraftKings,OVER,,12.0,1
Shaedon Sharpe,Portland Trail Blazers,Phoenix Suns,Points,9.5,-121,BetMGM,OVER,,12.0,1
Shaedon Sharpe,Portland Trail Blazers,Phoenix Suns,Points,9.5,-114,DraftKings,UNDER,,12.0,0
Shaedon Sharpe,Portland Trail Blazers,Phoenix Suns,Points,9.5,-113,BetMGM,UNDER,,12.0,0
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Points,16.5,-108,FanDuel,OVER,,21.0,1
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Points,16.5,-105,DraftKings,OVER,,21.0,1
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Points,16.5,-108,BetMGM,OVER,,21.0,1
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Points,16.5,-118,FanDuel,UNDER,,21.0,0
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Points,16.5,-121,DraftKings,UNDER,,21.0,0
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Points,16.5,-127,BetMGM,UNDER,,21.0,0
Jalen Green,Phoenix Suns,Portland Trail Blazers,Points,18.5,-111,FanDuel,OVER,,35.0,1
Jalen Green,Phoenix Suns,Portland Trail Blazers,Points,18.5,-113,DraftKings,OVER,,35.0,1
Jalen Green,Phoenix Suns,Portland Trail Blazers,Points,18.5,-115,BetMGM,OVER,,35.0,1
Jalen Green,Phoenix Suns,Portland Trail Blazers,Points,18.5,-115,FanDuel,UNDER,,35.0,0
Jalen Green,Phoenix Suns,Portland Trail Blazers,Points,18.5,-113,DraftKings,UNDER,,35.0,0
Jalen Green,Phoenix Suns,Portland Trail Blazers,Points,18.5,-118,BetMGM,UNDER,,35.0,0
Robert Williams III,Portland Trail Blazers,Phoenix Suns,Points,5.5,-125,DraftKings,OVER,,,
Robert Williams III,Portland Trail Blazers,Phoenix Suns,Points,5.5,-124,BetMGM,OVER,,,
Robert Williams III,Portland Trail Blazers,Phoenix Suns,Points,5.5,-102,DraftKings,UNDER,,,
Robert Williams III,Portland Trail Blazers,Phoenix Suns,Points,5.5,-110,BetMGM,UNDER,,,
Mark Williams,Phoenix Suns,Portland Trail Blazers,Rebounds,8.5,-137,DraftKings,OVER,,4.0,0
Mark Williams,Phoenix Suns,Portland Trail Blazers,Rebounds,8.5,-143,BetMGM,OVER,,4.0,0
Mark Williams,Phoenix Suns,Portland Trail Blazers,Rebounds,8.5,104,DraftKings,UNDER,,4.0,1
Mark Williams,Phoenix Suns,Portland Trail Blazers,Rebounds,8.5,105,BetMGM,UNDER,,4.0,1
Scoot Henderson,Portland Trail Blazers,Phoenix Suns,Rebounds,2.5,-101,DraftKings,OVER,,3.0,1
Scoot Henderson,Portland Trail Blazers,Phoenix Suns,Rebounds,2.5,107,BetMGM,OVER,,3.0,1
Scoot Henderson,Portland Trail Blazers,Phoenix Suns,Rebounds,2.5,-131,DraftKings,UNDER,,3.0,0
Scoot Henderson,Portland Trail Blazers,Phoenix Suns,Rebounds,2.5,-148,BetMGM,UNDER,,3.0,0
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Rebounds,5.5,130,FanDuel,OVER,,4.0,0
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Rebounds,4.5,-152,DraftKings,OVER,,4.0,0
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Rebounds,5.5,116,BetMGM,OVER,,4.0,0
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Rebounds,5.5,-166,FanDuel,UNDER,,4.0,1
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Rebounds,4.5,115,DraftKings,UNDER,,4.0,1
Jrue Holiday,Portland Trail Blazers,Phoenix Suns,Rebounds,5.5,-159,BetMGM,UNDER,,4.0,1
Royce O'Neale,Phoenix Suns,Portland Trail Blazers,Rebounds,3.5,-149,DraftKings,OVER,,8.0,1
Royce O'Neale,Phoenix Suns,Portland Trail Blazers,Rebounds,3.5,-167,BetMGM,OVER,,8.0,1
Royce O'Neale,Phoenix Suns,Portland Trail Blazers,Rebounds,3.5,113,DraftKings,UNDER,,8.0,0
Royce O'Neale,Phoenix Suns,Portland Trail Blazers,Rebounds,3.5,123,BetMGM,UNDER,,8.0,0
Oso Ighodaro,Phoenix Suns,Portland Trail Blazers,Rebounds,4.5,123,DraftKings,OVER,,1.0,0
Oso Ighodaro,Phoenix Suns,Portland Trail Blazers,Rebounds,4.5,-163,DraftKings,UNDER,,1.0,1
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Rebounds,2.5,124,DraftKings,OVER,,,
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Rebounds,2.5,112,BetMGM,OVER,,,
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Rebounds,2.5,-164,DraftKings,UNDER,,,
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Rebounds,2.5,-155,BetMGM,UNDER,,,
Donovan Clingan,Portland Trail Blazers,Phoenix Suns,Rebounds,11.5,-113,FanDuel,OVER,,11.0,0
Donovan Clingan,Portland Trail Blazers,Phoenix Suns,Rebounds,11.5,-102,DraftKings,OVER,,11.0,0
Donovan Clingan,Portland Trail Blazers,Phoenix Suns,Rebounds,11.5,-104,BetMGM,OVER,,11.0,0
Donovan Clingan,Portland Trail Blazers,Phoenix Suns,Rebounds,11.5,-113,FanDuel,UNDER,,11.0,1
Donovan Clingan,Portland Trail Blazers,Phoenix Suns,Rebounds,11.5,-129,DraftKings,UNDER,,11.0,1
Donovan Clingan,Portland Trail Blazers,Phoenix Suns,Rebounds,11.5,-132,BetMGM,UNDER,,11.0,1
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Rebounds,7.5,124,FanDuel,OVER,,7.0,0
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Rebounds,6.5,-135,DraftKings,OVER,,7.0,1
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Rebounds,6.5,-139,BetMGM,OVER,,7.0,1
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Rebounds,7.5,-158,FanDuel,UNDER,,7.0,1
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Rebounds,6.5,102,DraftKings,UNDER,,7.0,0
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Rebounds,6.5,102,BetMGM,UNDER,,7.0,0
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Rebounds,3.5,-122,FanDuel,OVER,,7.0,1
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Rebounds,3.5,-140,DraftKings,OVER,,7.0,1
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Rebounds,3.5,-152,BetMGM,OVER,,7.0,1
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Rebounds,3.5,-104,FanDuel,UNDER,,7.0,0
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Rebounds,3.5,106,DraftKings,UNDER,,7.0,0
Dillon Brooks,Phoenix Suns,Portland Trail Blazers,Rebounds,3.5,112,BetMGM,UNDER,,7.0,0
Toumani Camara,Portland Trail Blazers,Phoenix Suns,Rebounds,4.5,-138,DraftKings,OVER,,4.0,0
Toumani Camara,Portland Trail Blazers,Phoenix Suns,Rebounds,4.5,-127,BetMGM,OVER,,4.0,0
Toumani Camara,Portland Trail Blazers,Phoenix Suns,Rebounds,4.5,105,DraftKings,UNDER,,4.0,1
Toumani Camara,Portland Trail Blazers,Phoenix Suns,Rebounds,4.5,-107,BetMGM,UNDER,,4.0,1
Jalen Green,Phoenix Suns,Portland Trail Blazers,Assists,3.5,124,FanDuel,OVER,,2.0,0
Jalen Green,Phoenix Suns,Portland Trail Blazers,Assists,3.5,127,DraftKings,OVER,,2.0,0
Jalen Green,Phoenix Suns,Portland Trail Blazers,Assists,3.5,128,BetMGM,OVER,,2.0,0
Jalen Green,Phoenix Suns,Portland Trail Blazers,Assists,3.5,-158,FanDuel,UNDER,,2.0,1
Jalen Green,Phoenix Suns,Portland Trail Blazers,Assists,3.5,-167,DraftKings,UNDER,,2.0,1
Jalen Green,Phoenix Suns,Portland Trail Blazers,Assists,3.5,-177,BetMGM,UNDER,,2.0,1
Devin Booker,Phoenix Suns,Portland Trail Blazers,Assists,5.5,-156,FanDuel,OVER,,4.0,0
Devin Booker,Phoenix Suns,Portland Trail Blazers,Assists,6.5,113,DraftKings,OVER,,4.0,0
Devin Booker,Phoenix Suns,Portland Trail Blazers,Assists,5.5,-150,BetMGM,OVER,,4.0,0
Devin Booker,Phoenix Suns,Portland Trail Blazers,Assists,5.5,122,FanDuel,UNDER,,4.0,1
Devin Booker,Phoenix Suns,Portland Trail Blazers,Assists,6.5,-149,DraftKings,UNDER,,4.0,1
Devin Booker,Phoenix Suns,Portland Trail Blazers,Assists,5.5,110,BetMGM,UNDER,,4.0,1
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Assists,6.5,112,FanDuel,OVER,,12.0,1
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Assists,5.5,-156,DraftKings,OVER,,12.0,1
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Assists,6.5,120,BetMGM,OVER,,12.0,1
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Assists,6.5,-142,FanDuel,UNDER,,12.0,0
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Assists,5.5,119,DraftKings,UNDER,,12.0,0
Deni Avdija,Portland Trail Blazers,Phoenix Suns,Assists,6.5,-162,BetMGM,UNDER,,12.0,0
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Assists,2.5,113,DraftKings,OVER,,,
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Assists,2.5,107,BetMGM,OVER,,,
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Assists,2.5,-149,DraftKings,UNDER,,,
Grayson Allen,Phoenix Suns,Portland Trail Blazers,Assists,2.5,-148,BetMGM,UNDER,,,
Collin Gillespie,Phoenix Suns,Portland Trail Blazers,Assists,3.5,119,DraftKings,OVER,,0.0,0
Collin Gillespie,Phoenix Suns,Portland Trail Blazers,Assists,3.5,-157,DraftKings,UNDER,,0.0,1
Jordan Goodwin,Phoenix Suns,Portland Trail Blazers,Assists,2.5,130,DraftKings,OVER,,0.0,0
