Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Goga Bitadze,Orlando Magic,Philadelphia 76ers,Points,4.5,-115,DraftKings,OVER,,2.0,0
Goga Bitadze,Orlando Magic,Philadelphia 76ers,Points,4.5,-111,DraftKings,UNDER,,2.0,1
Quentin Grimes,Philadelphia 76ers,Orlando Magic,Points,10.5,-109,DraftKings,OVER,,4.0,0
Quentin Grimes,Philadelphia 76ers,Orlando Magic,Points,9.5,-132,BetMGM,OVER,,4.0,0
Quentin Grimes,Philadelphia 76ers,Orlando Magic,Points,10.5,-117,DraftKings,UNDER,,4.0,1
Quentin Grimes,Philadelphia 76ers,Orlando Magic,Points,9.5,-104,BetMGM,UNDER,,4.0,1
Anthony Black,Orlando Magic,Philadelphia 76ers,Points,10.5,100,DraftKings,OVER,,13.0,1
Anthony Black,Orlando Magic,Philadelphia 76ers,Points,9.5,-121,BetMGM,OVER,,13.0,1
Anthony Black,Orlando Magic,Philadelphia 76ers,Points,10.5,-128,DraftKings,UNDER,,13.0,0
Anthony Black,Orlando Magic,Philadelphia 76ers,Points,9.5,-113,BetMGM,UNDER,,13.0,0
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Points,16.5,-104,DraftKings,OVER,,19.0,1
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Points,15.5,-122,FanDuel,OVER,,19.0,1
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Points,15.5,-125,BetMGM,OVER,,19.0,1
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Points,16.5,-123,DraftKings,UNDER,,19.0,0
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Points,15.5,-104,FanDuel,UNDER,,19.0,0
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Points,15.5,-109,BetMGM,UNDER,,19.0,0
Wendell Carter Jr.,Orlando Magic,Philadelphia 76ers,Points,10.5,-113,DraftKings,OVER,,5.0,0
Wendell Carter Jr.,Orlando Magic,Philadelphia 76ers,Points,10.5,-105,BetMGM,OVER,,5.0,0
Wendell Carter Jr.,Orlando Magic,Philadelphia 76ers,Points,10.5,-113,DraftKings,UNDER,,5.0,1
Wendell Carter Jr.,Orlando Magic,Philadelphia 76ers,Points,10.5,-130,BetMGM,UNDER,,5.0,1
Franz Wagner,Orlando Magic,Philadelphia 76ers,Points,18.5,-112,DraftKings,OVER,,12.0,0
Franz Wagner,Orlando Magic,Philadelphia 76ers,Points,18.5,-108,FanDuel,OVER,,12.0,0
Franz Wagner,Orlando Magic,Philadelphia 76ers,Points,18.5,-112,BetMGM,OVER,,12.0,0
Franz Wagner,Orlando Magic,Philadelphia 76ers,Points,18.5,-114,DraftKings,UNDER,,12.0,1
Franz Wagner,Orlando Magic,Philadelphia 76ers,Points,18.5,-118,FanDuel,UNDER,,12.0,1
Franz Wagner,Orlando Magic,Philadelphia 76ers,Points,18.5,-122,BetMGM,UNDER,,12.0,1
Jalen Suggs,Orlando Magic,Philadelphia 76ers,Points,14.5,-117,DraftKings,OVER,,4.0,0
Jalen Suggs,Orlando Magic,Philadelphia 76ers,Points,14.5,-109,BetMGM,OVER,,4.0,0
Jalen Suggs,Orlando Magic,Philadelphia 76ers,Points,14.5,-109,DraftKings,UNDER,,4.0,1
Jalen Suggs,Orlando Magic,Philadelphia 76ers,Points,14.5,-125,BetMGM,UNDER,,4.0,1
Dominick Barlow,Philadelphia 76ers,Orlando Magic,Points,5.5,-115,DraftKings,OVER,,4.0,0
Dominick Barlow,Philadelphia 76ers,Orlando Magic,Points,5.5,-122,BetMGM,OVER,,4.0,0
Dominick Barlow,Philadelphia 76ers,Orlando Magic,Points,5.5,-111,DraftKings,UNDER,,4.0,1
Dominick Barlow,Philadelphia 76ers,Orlando Magic,Points,5.5,-112,BetMGM,UNDER,,4.0,1
Kelly Oubre Jr.,Philadelphia 76ers,Orlando Magic,Points,13.5,-123,DraftKings,OVER,,19.0,1
Kelly Oubre Jr.,Philadelphia 76ers,Orlando Magic,Points,13.5,-111,FanDuel,OVER,,19.0,1
Kelly Oubre Jr.,Philadelphia 76ers,Orlando Magic,Points,13.5,-121,BetMGM,OVER,,19.0,1
Kelly Oubre Jr.,Philadelphia 76ers,Orlando Magic,Points,13.5,-104,DraftKings,UNDER,,19.0,0
Kelly Oubre Jr.,Philadelphia 76ers,Orlando Magic,Points,13.5,-115,FanDuel,UNDER,,19.0,0
Kelly Oubre Jr.,Philadelphia 76ers,Orlando Magic,Points,13.5,-113,BetMGM,UNDER,,19.0,0
Tristan da Silva,Orlando Magic,Philadelphia 76ers,Points,6.5,-109,DraftKings,OVER,,4.0,0
Tristan da Silva,Orlando Magic,Philadelphia 76ers,Points,6.5,-127,BetMGM,OVER,,4.0,0
Tristan da Silva,Orlando Magic,Philadelphia 76ers,Points,6.5,-117,DraftKings,UNDER,,4.0,1
Tristan da Silva,Orlando Magic,Philadelphia 76ers,Points,6.5,-107,BetMGM,UNDER,,4.0,1
Tristan da Silva,Orlando Magic,Philadelphia 76ers,Rebounds,2.5,-170,DraftKings,OVER,,2.0,0
Tristan da Silva,Orlando Magic,Philadelphia 76ers,Rebounds,2.5,128,DraftKings,UNDER,,2.0,1
Franz Wagner,Orlando Magic,Philadelphia 76ers,Rebounds,4.5,-121,DraftKings,OVER,,4.0,0
Franz Wagner,Orlando Magic,Philadelphia 76ers,Rebounds,4.5,-118,FanDuel,OVER,,4.0,0
Franz Wagner,Orlando Magic,Philadelphia 76ers,Rebounds,4.5,-117,BetMGM,OVER,,4.0,0
Franz Wagner,Orlando Magic,Philadelphia 76ers,Rebounds,4.5,-109,DraftKings,UNDER,,4.0,1
Franz Wagner,Orlando Magic,Philadelphia 76ers,Rebounds,4.5,-108,FanDuel,UNDER,,4.0,1
Franz Wagner,Orlando Magic,Philadelphia 76ers,Rebounds,4.5,-117,BetMGM,UNDER,,4.0,1
Tyrese Maxey,Philadelphia 76ers,Orlando Magic,Rebounds,4.5,122,DraftKings,OVER,,2.0,0
Tyrese Maxey,Philadelphia 76ers,Orlando Magic,Rebounds,4.5,134,FanDuel,OVER,,2.0,0
Tyrese Maxey,Philadelphia 76ers,Orlando Magic,Rebounds,3.5,-162,BetMGM,OVER,,2.0,0
Tyrese Maxey,Philadelphia 76ers,Orlando Magic,Rebounds,4.5,-161,DraftKings,UNDER,,2.0,1
Tyrese Maxey,Philadelphia 76ers,Orlando Magic,Rebounds,4.5,-172,FanDuel,UNDER,,2.0,1
Tyrese Maxey,Philadelphia 76ers,Orlando Magic,Rebounds,3.5,120,BetMGM,UNDER,,2.0,1
Wendell Carter Jr.,Orlando Magic,Philadelphia 76ers,Rebounds,7.5,-119,DraftKings,OVER,,11.0,1
Wendell Carter Jr.,Orlando Magic,Philadelphia 76ers,Rebounds,7.5,-121,BetMGM,OVER,,11.0,1
Wendell Carter Jr.,Orlando Magic,Philadelphia 76ers,Rebounds,7.5,-111,DraftKings,UNDER,,11.0,0
Wendell Carter Jr.,Orlando Magic,Philadelphia 76ers,Rebounds,7.5,-113,BetMGM,UNDER,,11.0,0
Paolo Banchero,Orlando Magic,Philadelphia 76ers,Rebounds,8.5,-111,DraftKings,OVER,,5.0,0
Paolo Banchero,Orlando Magic,Philadelphia 76ers,Rebounds,8.5,-106,FanDuel,OVER,,5.0,0
Paolo Banchero,Orlando Magic,Philadelphia 76ers,Rebounds,8.5,-104,BetMGM,OVER,,5.0,0
Paolo Banchero,Orlando Magic,Philadelphia 76ers,Rebounds,8.5,-119,DraftKings,UNDER,,5.0,1
Paolo Banchero,Orlando Magic,Philadelphia 76ers,Rebounds,8.5,-120,FanDuel,UNDER,,5.0,1
Paolo Banchero,Orlando Magic,Philadelphia 76ers,Rebounds,8.5,-132,BetMGM,UNDER,,5.0,1
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Rebounds,5.5,-124,DraftKings,OVER,,11.0,1
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Rebounds,5.5,-122,FanDuel,OVER,,11.0,1
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Rebounds,5.5,-118,BetMGM,OVER,,11.0,1
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Rebounds,5.5,-106,DraftKings,UNDER,,11.0,0
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Rebounds,5.5,-104,FanDuel,UNDER,,11.0,0
VJ Edgecombe,Philadelphia 76ers,Orlando Magic,Rebounds,5.5,-115,BetMGM,UNDER,,11.0,0
Jalen Suggs,Orlando Magic,Philadelphia 76ers,Rebounds,4.5,117,DraftKings,OVER,,6.0,1
Jalen Suggs,Orlando Magic,Philadelphia 76ers,Rebounds,4.5,115,BetMGM,OVER,,6.0,1
Jalen Suggs,Orlando Magic,Philadelphia 76ers,Rebounds,4.5,-154,DraftKings,UNDER,,6.0,0
