Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Desmond Bane,Orlando Magic,Charlotte Hornets,Points,20.5,-113,DraftKings,OVER,,13.0,0
Desmond Bane,Orlando Magic,Charlotte Hornets,Points,20.5,-114,BetMGM,OVER,,13.0,0
Desmond Bane,Orlando Magic,Charlotte Hornets,Points,20.5,-113,DraftKings,UNDER,,13.0,1
Desmond Bane,Orlando Magic,Charlotte Hornets,Points,20.5,-120,BetMGM,UNDER,,13.0,1
Coby White,Charlotte Hornets,Orlando Magic,Points,13.5,-113,FanDuel,OVER,,4.0,0
Coby White,Charlotte Hornets,Orlando Magic,Points,13.5,-124,DraftKings,OVER,,4.0,0
Coby White,Charlotte Hornets,Orlando Magic,Points,13.5,-129,BetMGM,OVER,,4.0,0
Coby White,Charlotte Hornets,Orlando Magic,Points,13.5,-113,FanDuel,UNDER,,4.0,1
Coby White,Charlotte Hornets,Orlando Magic,Points,13.5,-103,DraftKings,UNDER,,4.0,1
Coby White,Charlotte Hornets,Orlando Magic,Points,13.5,-106,BetMGM,UNDER,,4.0,1
Paolo Banchero,Orlando Magic,Charlotte Hornets,Points,23.5,-114,DraftKings,OVER,,25.0,1
Paolo Banchero,Orlando Magic,Charlotte Hornets,Points,23.5,-108,BetMGM,OVER,,25.0,1
Paolo Banchero,Orlando Magic,Charlotte Hornets,Points,23.5,-112,DraftKings,UNDER,,25.0,0
Paolo Banchero,Orlando Magic,Charlotte Hornets,Points,23.5,-127,BetMGM,UNDER,,25.0,0
Franz Wagner,Orlando Magic,Charlotte Hornets,Points,17.5,-119,DraftKings,OVER,,18.0,1
Franz Wagner,Orlando Magic,Charlotte Hornets,Points,17.5,-114,BetMGM,OVER,,18.0,1
Franz Wagner,Orlando Magic,Charlotte Hornets,Points,17.5,-107,DraftKings,UNDER,,18.0,0
Franz Wagner,Orlando Magic,Charlotte Hornets,Points,17.5,-120,BetMGM,UNDER,,18.0,0
Jalen Suggs,Orlando Magic,Charlotte Hornets,Points,14.5,-114,DraftKings,OVER,,12.0,0
Jalen Suggs,Orlando Magic,Charlotte Hornets,Points,14.5,-110,BetMGM,OVER,,12.0,0
Jalen Suggs,Orlando Magic,Charlotte Hornets,Points,14.5,-112,DraftKings,UNDER,,12.0,1
Jalen Suggs,Orlando Magic,Charlotte Hornets,Points,14.5,-124,BetMGM,UNDER,,12.0,1
Anthony Black,Orlando Magic,Charlotte Hornets,Points,10.5,100,DraftKings,OVER,,7.0,0
Anthony Black,Orlando Magic,Charlotte Hornets,Points,10.5,-108,BetMGM,OVER,,7.0,0
Anthony Black,Orlando Magic,Charlotte Hornets,Points,10.5,-128,DraftKings,UNDER,,7.0,1
Anthony Black,Orlando Magic,Charlotte Hornets,Points,10.5,-127,BetMGM,UNDER,,7.0,1
Brandon Miller,Charlotte Hornets,Orlando Magic,Points,19.5,-106,FanDuel,OVER,,14.0,0
Brandon Miller,Charlotte Hornets,Orlando Magic,Points,19.5,-119,DraftKings,OVER,,14.0,0
Brandon Miller,Charlotte Hornets,Orlando Magic,Points,19.5,-118,BetMGM,OVER,,14.0,0
Brandon Miller,Charlotte Hornets,Orlando Magic,Points,19.5,-120,FanDuel,UNDER,,14.0,1
Brandon Miller,Charlotte Hornets,Orlando Magic,Points,19.5,-107,DraftKings,UNDER,,14.0,1
Brandon Miller,Charlotte Hornets,Orlando Magic,Points,19.5,-115,BetMGM,UNDER,,14.0,1
Tristan da Silva,Orlando Magic,Charlotte Hornets,Points,5.5,105,DraftKings,OVER,,5.0,0
Tristan da Silva,Orlando Magic,Charlotte Hornets,Points,5.5,-134,DraftKings,UNDER,,5.0,1
Moussa Diabate,Charlotte Hornets,Orlando Magic,Points,7.5,102,FanDuel,OVER,,,
Moussa Diabate,Charlotte Hornets,Orlando Magic,Points,6.5,-131,DraftKings,OVER,,,
Moussa Diabate,Charlotte Hornets,Orlando Magic,Points,7.5,-117,BetMGM,OVER,,,
Moussa Diabate,Charlotte Hornets,Orlando Magic,Points,7.5,-130,FanDuel,UNDER,,,
Moussa Diabate,Charlotte Hornets,Orlando Magic,Points,6.5,103,DraftKings,UNDER,,,
Moussa Diabate,Charlotte Hornets,Orlando Magic,Points,7.5,-117,BetMGM,UNDER,,,
Grant Williams,Charlotte Hornets,Orlando Magic,Points,4.5,-132,DraftKings,OVER,,1.0,0
Grant Williams,Charlotte Hornets,Orlando Magic,Points,5.5,105,BetMGM,OVER,,1.0,0
Grant Williams,Charlotte Hornets,Orlando Magic,Points,4.5,104,DraftKings,UNDER,,1.0,1
Grant Williams,Charlotte Hornets,Orlando Magic,Points,5.5,-141,BetMGM,UNDER,,1.0,1
Coby White,Charlotte Hornets,Orlando Magic,Rebounds,2.5,-120,FanDuel,OVER,,0.0,0
Coby White,Charlotte Hornets,Orlando Magic,Rebounds,2.5,103,DraftKings,OVER,,0.0,0
Coby White,Charlotte Hornets,Orlando Magic,Rebounds,2.5,-113,BetMGM,OVER,,0.0,0
Coby White,Charlotte Hornets,Orlando Magic,Rebounds,2.5,-106,FanDuel,UNDER,,0.0,1
Coby White,Charlotte Hornets,Orlando Magic,Rebounds,2.5,-135,DraftKings,UNDER,,0.0,1
