Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Kristaps Porzingis,Golden State Warriors,Phoenix Suns,Points,17.5,100,FanDuel,OVER,,,
Kristaps Porzingis,Golden State Warriors,Phoenix Suns,Points,17.5,-102,DraftKings,OVER,,,
Kristaps Porzingis,Golden State Warriors,Phoenix Suns,Points,16.5,-129,BetMGM,OVER,,,
Kristaps Porzingis,Golden State Warriors,Phoenix Suns,Points,17.5,-128,FanDuel,UNDER,,,
Kristaps Porzingis,Golden State Warriors,Phoenix Suns,Points,17.5,-124,DraftKings,UNDER,,,
Kristaps Porzingis,Golden State Warriors,Phoenix Suns,Points,16.5,-106,BetMGM,UNDER,,,
Gui Santos,Golden State Warriors,Phoenix Suns,Points,12.5,-117,DraftKings,OVER,,9.0,0
Gui Santos,Golden State Warriors,Phoenix Suns,Points,12.5,-125,BetMGM,OVER,,9.0,0
Gui Santos,Golden State Warriors,Phoenix Suns,Points,12.5,-109,DraftKings,UNDER,,9.0,1
Gui Santos,Golden State Warriors,Phoenix Suns,Points,12.5,-109,BetMGM,UNDER,,9.0,1
Mark Williams,Phoenix Suns,Golden State Warriors,Points,8.5,111,DraftKings,OVER,,,
Mark Williams,Phoenix Suns,Golden State Warriors,Points,7.5,-148,BetMGM,OVER,,,
Mark Williams,Phoenix Suns,Golden State Warriors,Points,8.5,-142,DraftKings,UNDER,,,
Mark Williams,Phoenix Suns,Golden State Warriors,Points,7.5,108,BetMGM,UNDER,,,
De'Anthony Melton,Golden State Warriors,Phoenix Suns,Points,9.5,-130,DraftKings,OVER,,16.0,1
De'Anthony Melton,Golden State Warriors,Phoenix Suns,Points,9.5,-120,BetMGM,OVER,,16.0,1
De'Anthony Melton,Golden State Warriors,Phoenix Suns,Points,9.5,102,DraftKings,UNDER,,16.0,0
De'Anthony Melton,Golden State Warriors,Phoenix Suns,Points,9.5,-114,BetMGM,UNDER,,16.0,0
Devin Booker,Phoenix Suns,Golden State Warriors,Points,28.5,102,FanDuel,OVER,,20.0,0
Devin Booker,Phoenix Suns,Golden State Warriors,Points,28.5,-107,DraftKings,OVER,,20.0,0
Devin Booker,Phoenix Suns,Golden State Warriors,Points,28.5,-114,BetMGM,OVER,,20.0,0
Devin Booker,Phoenix Suns,Golden State Warriors,Points,28.5,-130,FanDuel,UNDER,,20.0,1
Devin Booker,Phoenix Suns,Golden State Warriors,Points,28.5,-119,DraftKings,UNDER,,20.0,1
Devin Booker,Phoenix Suns,Golden State Warriors,Points,28.5,-120,BetMGM,UNDER,,20.0,1
Jordan Goodwin,Phoenix Suns,Golden State Warriors,Points,7.5,-130,DraftKings,OVER,,19.0,1
Jordan Goodwin,Phoenix Suns,Golden State Warriors,Points,7.5,-127,BetMGM,OVER,,19.0,1
Jordan Goodwin,Phoenix Suns,Golden State Warriors,Points,7.5,102,DraftKings,UNDER,,19.0,0
Jordan Goodwin,Phoenix Suns,Golden State Warriors,Points,7.5,-107,BetMGM,UNDER,,19.0,0
Collin Gillespie,Phoenix Suns,Golden State Warriors,Points,6.5,-110,DraftKings,OVER,,2.0,0
Collin Gillespie,Phoenix Suns,Golden State Warriors,Points,6.5,-116,DraftKings,UNDER,,2.0,1
