Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Gabe Vincent,Atlanta Hawks,New York Knicks,Points,3.5,113,DraftKings,OVER,,3.0,0
Gabe Vincent,Atlanta Hawks,New York Knicks,Points,3.5,-144,DraftKings,UNDER,,3.0,1
Jalen Johnson,Atlanta Hawks,New York Knicks,Points,21.5,-115,DraftKings,OVER,,17.0,0
Jalen Johnson,Atlanta Hawks,New York Knicks,Points,21.5,100,FanDuel,OVER,,17.0,0
Jalen Johnson,Atlanta Hawks,New York Knicks,Points,21.5,-117,BetMGM,OVER,,17.0,0
Jalen Johnson,Atlanta Hawks,New York Knicks,Points,21.5,-111,DraftKings,UNDER,,17.0,1
Jalen Johnson,Atlanta Hawks,New York Knicks,Points,21.5,-128,FanDuel,UNDER,,17.0,1
Jalen Johnson,Atlanta Hawks,New York Knicks,Points,21.5,-117,BetMGM,UNDER,,17.0,1
Jonathan Kuminga,Atlanta Hawks,New York Knicks,Points,11.5,101,DraftKings,OVER,,19.0,1
Jonathan Kuminga,Atlanta Hawks,New York Knicks,Points,11.5,-118,BetMGM,OVER,,19.0,1
Jonathan Kuminga,Atlanta Hawks,New York Knicks,Points,11.5,-128,DraftKings,UNDER,,19.0,0
Jonathan Kuminga,Atlanta Hawks,New York Knicks,Points,11.5,-115,BetMGM,UNDER,,19.0,0
CJ McCollum,Atlanta Hawks,New York Knicks,Points,18.5,-105,DraftKings,OVER,,32.0,1
CJ McCollum,Atlanta Hawks,New York Knicks,Points,18.5,-111,FanDuel,OVER,,32.0,1
CJ McCollum,Atlanta Hawks,New York Knicks,Points,18.5,-105,BetMGM,OVER,,32.0,1
CJ McCollum,Atlanta Hawks,New York Knicks,Points,18.5,-121,DraftKings,UNDER,,32.0,0
CJ McCollum,Atlanta Hawks,New York Knicks,Points,18.5,-115,FanDuel,UNDER,,32.0,0
CJ McCollum,Atlanta Hawks,New York Knicks,Points,18.5,-130,BetMGM,UNDER,,32.0,0
Mitchell Robinson,New York Knicks,Atlanta Hawks,Points,4.5,-102,DraftKings,OVER,,13.0,1
