Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Robert Williams III,Portland Trail Blazers,San Antonio Spurs,Points,6.5,103,DraftKings,OVER,,,
Robert Williams III,Portland Trail Blazers,San Antonio Spurs,Points,6.5,-131,DraftKings,UNDER,,,
Donovan Clingan,Portland Trail Blazers,San Antonio Spurs,Points,9.5,-104,FanDuel,OVER,,9.0,0
Donovan Clingan,Portland Trail Blazers,San Antonio Spurs,Points,9.5,-105,DraftKings,OVER,,9.0,0
Donovan Clingan,Portland Trail Blazers,San Antonio Spurs,Points,9.5,-114,BetMGM,OVER,,9.0,0
Donovan Clingan,Portland Trail Blazers,San Antonio Spurs,Points,9.5,-122,FanDuel,UNDER,,9.0,1
Donovan Clingan,Portland Trail Blazers,San Antonio Spurs,Points,9.5,-122,DraftKings,UNDER,,9.0,1
Donovan Clingan,Portland Trail Blazers,San Antonio Spurs,Points,9.5,-120,BetMGM,UNDER,,9.0,1
De'Aaron Fox,San Antonio Spurs,Portland Trail Blazers,Points,16.5,-120,DraftKings,OVER,,17.0,1
De'Aaron Fox,San Antonio Spurs,Portland Trail Blazers,Points,16.5,-125,BetMGM,OVER,,17.0,1
De'Aaron Fox,San Antonio Spurs,Portland Trail Blazers,Points,16.5,-107,DraftKings,UNDER,,17.0,0
De'Aaron Fox,San Antonio Spurs,Portland Trail Blazers,Points,16.5,-108,BetMGM,UNDER,,17.0,0
Devin Vassell,San Antonio Spurs,Portland Trail Blazers,Points,12.5,-126,DraftKings,OVER,,16.0,1
Devin Vassell,San Antonio Spurs,Portland Trail Blazers,Points,13.5,-106,BetMGM,OVER,,16.0,1
Devin Vassell,San Antonio Spurs,Portland Trail Blazers,Points,12.5,-101,DraftKings,UNDER,,16.0,0
Devin Vassell,San Antonio Spurs,Portland Trail Blazers,Points,13.5,-129,BetMGM,UNDER,,16.0,0
Jrue Holiday,Portland Trail Blazers,San Antonio Spurs,Points,15.5,-106,FanDuel,OVER,,16.0,1
Jrue Holiday,Portland Trail Blazers,San Antonio Spurs,Points,15.5,-115,DraftKings,OVER,,16.0,1
Jrue Holiday,Portland Trail Blazers,San Antonio Spurs,Points,15.5,-127,BetMGM,OVER,,16.0,1
Jrue Holiday,Portland Trail Blazers,San Antonio Spurs,Points,15.5,-120,FanDuel,UNDER,,16.0,0
Jrue Holiday,Portland Trail Blazers,San Antonio Spurs,Points,15.5,-111,DraftKings,UNDER,,16.0,0
Jrue Holiday,Portland Trail Blazers,San Antonio Spurs,Points,15.5,-107,BetMGM,UNDER,,16.0,0
Dylan Harper,San Antonio Spurs,Portland Trail Blazers,Points,8.5,-125,DraftKings,OVER,,10.0,1
Dylan Harper,San Antonio Spurs,Portland Trail Blazers,Points,8.5,-129,BetMGM,OVER,,10.0,1
