Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Isaiah Joe,Oklahoma City Thunder,Phoenix Suns,Points,6.5,-101,DraftKings,OVER,,6.0,0
Isaiah Joe,Oklahoma City Thunder,Phoenix Suns,Points,6.5,-126,DraftKings,UNDER,,6.0,1
Jordan Goodwin,Phoenix Suns,Oklahoma City Thunder,Points,6.5,-120,DraftKings,OVER,,,
Jordan Goodwin,Phoenix Suns,Oklahoma City Thunder,Points,7.5,-107,BetMGM,OVER,,,
Jordan Goodwin,Phoenix Suns,Oklahoma City Thunder,Points,6.5,-106,DraftKings,UNDER,,,
Jordan Goodwin,Phoenix Suns,Oklahoma City Thunder,Points,7.5,-127,BetMGM,UNDER,,,
Royce O'Neale,Phoenix Suns,Oklahoma City Thunder,Points,6.5,-120,DraftKings,OVER,,16.0,1
Royce O'Neale,Phoenix Suns,Oklahoma City Thunder,Points,6.5,-124,BetMGM,OVER,,16.0,1
Royce O'Neale,Phoenix Suns,Oklahoma City Thunder,Points,6.5,-107,DraftKings,UNDER,,16.0,0
Royce O'Neale,Phoenix Suns,Oklahoma City Thunder,Points,6.5,-110,BetMGM,UNDER,,16.0,0
Collin Gillespie,Phoenix Suns,Oklahoma City Thunder,Points,9.5,100,DraftKings,OVER,,7.0,0
Collin Gillespie,Phoenix Suns,Oklahoma City Thunder,Points,8.5,-132,BetMGM,OVER,,7.0,0
Collin Gillespie,Phoenix Suns,Oklahoma City Thunder,Points,9.5,-127,DraftKings,UNDER,,7.0,1
Collin Gillespie,Phoenix Suns,Oklahoma City Thunder,Points,8.5,-104,BetMGM,UNDER,,7.0,1
Luguentz Dort,Oklahoma City Thunder,Phoenix Suns,Points,6.5,-116,DraftKings,OVER,,9.0,1
Luguentz Dort,Oklahoma City Thunder,Phoenix Suns,Points,7.5,-109,BetMGM,OVER,,9.0,1
Luguentz Dort,Oklahoma City Thunder,Phoenix Suns,Points,6.5,-110,DraftKings,UNDER,,9.0,0
Luguentz Dort,Oklahoma City Thunder,Phoenix Suns,Points,7.5,-125,BetMGM,UNDER,,9.0,0
Jalen Green,Phoenix Suns,Oklahoma City Thunder,Points,18.5,-112,DraftKings,OVER,,21.0,1
Jalen Green,Phoenix Suns,Oklahoma City Thunder,Points,18.5,-118,FanDuel,OVER,,21.0,1
Jalen Green,Phoenix Suns,Oklahoma City Thunder,Points,18.5,-117,BetMGM,OVER,,21.0,1
Jalen Green,Phoenix Suns,Oklahoma City Thunder,Points,18.5,-113,DraftKings,UNDER,,21.0,0
Jalen Green,Phoenix Suns,Oklahoma City Thunder,Points,18.5,-108,FanDuel,UNDER,,21.0,0
