Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Jalen Duren,Detroit Pistons,Orlando Magic,Points,14.5,-123,DraftKings,OVER,,12.0,0
Jalen Duren,Detroit Pistons,Orlando Magic,Points,14.5,-118,FanDuel,OVER,,12.0,0
Jalen Duren,Detroit Pistons,Orlando Magic,Points,15.5,-103,BetMGM,OVER,,12.0,0
Jalen Duren,Detroit Pistons,Orlando Magic,Points,14.5,-104,DraftKings,UNDER,,12.0,1
Jalen Duren,Detroit Pistons,Orlando Magic,Points,14.5,-108,FanDuel,UNDER,,12.0,1
Jalen Duren,Detroit Pistons,Orlando Magic,Points,15.5,-134,BetMGM,UNDER,,12.0,1
Franz Wagner,Orlando Magic,Detroit Pistons,Points,17.5,-110,DraftKings,OVER,,19.0,1
Franz Wagner,Orlando Magic,Detroit Pistons,Points,18.5,-104,FanDuel,OVER,,19.0,1
Franz Wagner,Orlando Magic,Detroit Pistons,Points,17.5,-130,BetMGM,OVER,,19.0,1
Franz Wagner,Orlando Magic,Detroit Pistons,Points,17.5,-116,DraftKings,UNDER,,19.0,0
Franz Wagner,Orlando Magic,Detroit Pistons,Points,18.5,-122,FanDuel,UNDER,,19.0,0
Franz Wagner,Orlando Magic,Detroit Pistons,Points,17.5,-105,BetMGM,UNDER,,19.0,0
Cade Cunningham,Detroit Pistons,Orlando Magic,Points,28.5,-105,DraftKings,OVER,,25.0,0
Cade Cunningham,Detroit Pistons,Orlando Magic,Points,27.5,-113,FanDuel,OVER,,25.0,0
Cade Cunningham,Detroit Pistons,Orlando Magic,Points,28.5,-114,BetMGM,OVER,,25.0,0
Cade Cunningham,Detroit Pistons,Orlando Magic,Points,28.5,-121,DraftKings,UNDER,,25.0,1
Cade Cunningham,Detroit Pistons,Orlando Magic,Points,27.5,-113,FanDuel,UNDER,,25.0,1
Cade Cunningham,Detroit Pistons,Orlando Magic,Points,28.5,-118,BetMGM,UNDER,,25.0,1
Anthony Black,Orlando Magic,Detroit Pistons,Points,8.5,-122,DraftKings,OVER,,2.0,0
Anthony Black,Orlando Magic,Detroit Pistons,Points,8.5,-137,BetMGM,OVER,,2.0,0
Anthony Black,Orlando Magic,Detroit Pistons,Points,8.5,-104,DraftKings,UNDER,,2.0,1
Anthony Black,Orlando Magic,Detroit Pistons,Points,8.5,100,BetMGM,UNDER,,2.0,1
Paolo Banchero,Orlando Magic,Detroit Pistons,Points,21.5,-104,DraftKings,OVER,,18.0,0
Paolo Banchero,Orlando Magic,Detroit Pistons,Points,20.5,-128,FanDuel,OVER,,18.0,0
Paolo Banchero,Orlando Magic,Detroit Pistons,Points,21.5,-110,BetMGM,OVER,,18.0,0
Paolo Banchero,Orlando Magic,Detroit Pistons,Points,21.5,-123,DraftKings,UNDER,,18.0,1
Paolo Banchero,Orlando Magic,Detroit Pistons,Points,20.5,100,FanDuel,UNDER,,18.0,1
Paolo Banchero,Orlando Magic,Detroit Pistons,Points,21.5,-122,BetMGM,UNDER,,18.0,1
Wendell Carter Jr.,Orlando Magic,Detroit Pistons,Points,10.5,101,DraftKings,OVER,,12.0,1
Wendell Carter Jr.,Orlando Magic,Detroit Pistons,Points,10.5,-113,BetMGM,OVER,,12.0,1
Wendell Carter Jr.,Orlando Magic,Detroit Pistons,Points,10.5,-129,DraftKings,UNDER,,12.0,0
Wendell Carter Jr.,Orlando Magic,Detroit Pistons,Points,10.5,-121,BetMGM,UNDER,,12.0,0
Tobias Harris,Detroit Pistons,Orlando Magic,Points,15.5,-123,DraftKings,OVER,,20.0,1
Tobias Harris,Detroit Pistons,Orlando Magic,Points,16.5,-104,FanDuel,OVER,,20.0,1
Tobias Harris,Detroit Pistons,Orlando Magic,Points,16.5,-106,BetMGM,OVER,,20.0,1
Tobias Harris,Detroit Pistons,Orlando Magic,Points,15.5,-104,DraftKings,UNDER,,20.0,0
Tobias Harris,Detroit Pistons,Orlando Magic,Points,16.5,-122,FanDuel,UNDER,,20.0,0
Tobias Harris,Detroit Pistons,Orlando Magic,Points,16.5,-129,BetMGM,UNDER,,20.0,0
Isaiah Stewart,Detroit Pistons,Orlando Magic,Points,5.5,-114,DraftKings,OVER,,8.0,1
Isaiah Stewart,Detroit Pistons,Orlando Magic,Points,5.5,-108,BetMGM,OVER,,8.0,1
Isaiah Stewart,Detroit Pistons,Orlando Magic,Points,5.5,-111,DraftKings,UNDER,,8.0,0
Isaiah Stewart,Detroit Pistons,Orlando Magic,Points,5.5,-127,BetMGM,UNDER,,8.0,0
Jamal Cain,Orlando Magic,Detroit Pistons,Points,2.5,-110,DraftKings,OVER,,8.0,1
Jamal Cain,Orlando Magic,Detroit Pistons,Points,2.5,-115,DraftKings,UNDER,,8.0,0
Jalen Suggs,Orlando Magic,Detroit Pistons,Points,13.5,-127,DraftKings,OVER,,5.0,0
Jalen Suggs,Orlando Magic,Detroit Pistons,Points,13.5,-134,BetMGM,OVER,,5.0,0
Jalen Suggs,Orlando Magic,Detroit Pistons,Points,13.5,100,DraftKings,UNDER,,5.0,1
Jalen Suggs,Orlando Magic,Detroit Pistons,Points,13.5,-103,BetMGM,UNDER,,5.0,1
Duncan Robinson,Detroit Pistons,Orlando Magic,Rebounds,2.5,116,DraftKings,OVER,,1.0,0
Duncan Robinson,Detroit Pistons,Orlando Magic,Rebounds,2.5,-103,BetMGM,OVER,,1.0,0
Duncan Robinson,Detroit Pistons,Orlando Magic,Rebounds,2.5,-153,DraftKings,UNDER,,1.0,1
Duncan Robinson,Detroit Pistons,Orlando Magic,Rebounds,2.5,-132,BetMGM,UNDER,,1.0,1
Anthony Black,Orlando Magic,Detroit Pistons,Rebounds,2.5,-139,DraftKings,OVER,,2.0,0
