Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Sam Hauser,Boston Celtics,Philadelphia 76ers,Points,6.5,-116,DraftKings,OVER,,5.0,0
Sam Hauser,Boston Celtics,Philadelphia 76ers,Points,7.5,-108,BetMGM,OVER,,5.0,0
Sam Hauser,Boston Celtics,Philadelphia 76ers,Points,6.5,-110,DraftKings,UNDER,,5.0,1
Sam Hauser,Boston Celtics,Philadelphia 76ers,Points,7.5,-127,BetMGM,UNDER,,5.0,1
Derrick White,Boston Celtics,Philadelphia 76ers,Points,11.5,-108,FanDuel,OVER,,11.0,0
Derrick White,Boston Celtics,Philadelphia 76ers,Points,11.5,-121,DraftKings,OVER,,11.0,0
Derrick White,Boston Celtics,Philadelphia 76ers,Points,11.5,-121,BetMGM,OVER,,11.0,0
Derrick White,Boston Celtics,Philadelphia 76ers,Points,11.5,-118,FanDuel,UNDER,,11.0,1
Derrick White,Boston Celtics,Philadelphia 76ers,Points,11.5,-105,DraftKings,UNDER,,11.0,1
Derrick White,Boston Celtics,Philadelphia 76ers,Points,11.5,-113,BetMGM,UNDER,,11.0,1
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Points,13.5,-106,DraftKings,OVER,,14.0,1
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Points,13.5,-107,BetMGM,OVER,,14.0,1
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Points,13.5,-120,DraftKings,UNDER,,14.0,0
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Points,13.5,-127,BetMGM,UNDER,,14.0,0
Baylor Scheierman,Boston Celtics,Philadelphia 76ers,Points,3.5,114,DraftKings,OVER,,5.0,1
Baylor Scheierman,Boston Celtics,Philadelphia 76ers,Points,3.5,-146,DraftKings,UNDER,,5.0,0
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,Points,9.5,-107,DraftKings,OVER,,14.0,1
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,Points,9.5,-113,BetMGM,OVER,,14.0,1
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,Points,9.5,-119,DraftKings,UNDER,,14.0,0
Kelly Oubre Jr.,Philadelphia 76ers,Boston Celtics,Points,9.5,-121,BetMGM,UNDER,,14.0,0
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Points,7.5,101,DraftKings,OVER,,,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Points,7.5,-103,BetMGM,OVER,,,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Points,7.5,-128,DraftKings,UNDER,,,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Points,7.5,-134,BetMGM,UNDER,,,
Neemias Queta,Boston Celtics,Philadelphia 76ers,Points,8.5,109,DraftKings,OVER,,4.0,0
Neemias Queta,Boston Celtics,Philadelphia 76ers,Points,7.5,-139,BetMGM,OVER,,4.0,0
Neemias Queta,Boston Celtics,Philadelphia 76ers,Points,8.5,-139,DraftKings,UNDER,,4.0,1
Neemias Queta,Boston Celtics,Philadelphia 76ers,Points,7.5,102,BetMGM,UNDER,,4.0,1
Paul George,Philadelphia 76ers,Boston Celtics,Points,16.5,-104,FanDuel,OVER,,23.0,1
Paul George,Philadelphia 76ers,Boston Celtics,Points,15.5,-122,DraftKings,OVER,,23.0,1
Paul George,Philadelphia 76ers,Boston Celtics,Points,15.5,-125,BetMGM,OVER,,23.0,1
Paul George,Philadelphia 76ers,Boston Celtics,Points,16.5,-122,FanDuel,UNDER,,23.0,0
Paul George,Philadelphia 76ers,Boston Celtics,Points,15.5,-105,DraftKings,UNDER,,23.0,0
Paul George,Philadelphia 76ers,Boston Celtics,Points,15.5,-109,BetMGM,UNDER,,23.0,0
Joel Embiid,Philadelphia 76ers,Boston Celtics,Points,27.5,-111,FanDuel,OVER,,19.0,0
Joel Embiid,Philadelphia 76ers,Boston Celtics,Points,27.5,-111,DraftKings,OVER,,19.0,0
