Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Jaylen Clark,Minnesota Timberwolves,Denver Nuggets,Points,3.5,-133,DraftKings,OVER,,3.0,0
Jaylen Clark,Minnesota Timberwolves,Denver Nuggets,Points,3.5,104,DraftKings,UNDER,,3.0,1
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Points,18.5,-111,FanDuel,OVER,,0.0,0
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Points,18.5,-113,DraftKings,OVER,,0.0,0
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Points,18.5,-120,BetMGM,OVER,,0.0,0
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Points,18.5,-115,FanDuel,UNDER,,0.0,1
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Points,18.5,-113,DraftKings,UNDER,,0.0,1
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Points,18.5,-114,BetMGM,UNDER,,0.0,1
Naz Reid,Minnesota Timberwolves,Denver Nuggets,Points,14.5,-103,DraftKings,OVER,,15.0,1
Naz Reid,Minnesota Timberwolves,Denver Nuggets,Points,14.5,-104,BetMGM,OVER,,15.0,1
Naz Reid,Minnesota Timberwolves,Denver Nuggets,Points,14.5,-124,DraftKings,UNDER,,15.0,0
Naz Reid,Minnesota Timberwolves,Denver Nuggets,Points,14.5,-132,BetMGM,UNDER,,15.0,0
Jaden McDaniels,Minnesota Timberwolves,Denver Nuggets,Points,18.5,-113,DraftKings,OVER,,32.0,1
Jaden McDaniels,Minnesota Timberwolves,Denver Nuggets,Points,18.5,-124,BetMGM,OVER,,32.0,1
Jaden McDaniels,Minnesota Timberwolves,Denver Nuggets,Points,18.5,-112,DraftKings,UNDER,,32.0,0
Jaden McDaniels,Minnesota Timberwolves,Denver Nuggets,Points,18.5,-110,BetMGM,UNDER,,32.0,0
Bruce Brown Jr.,Denver Nuggets,Minnesota Timberwolves,Points,6.5,-125,DraftKings,OVER,,,
Bruce Brown Jr.,Denver Nuggets,Minnesota Timberwolves,Points,6.5,-124,BetMGM,OVER,,,
Bruce Brown Jr.,Denver Nuggets,Minnesota Timberwolves,Points,6.5,-102,DraftKings,UNDER,,,
Bruce Brown Jr.,Denver Nuggets,Minnesota Timberwolves,Points,6.5,-110,BetMGM,UNDER,,,
Tyus Jones,Denver Nuggets,Minnesota Timberwolves,Points,2.5,118,DraftKings,OVER,,4.0,1
Tyus Jones,Denver Nuggets,Minnesota Timberwolves,Points,2.5,-150,DraftKings,UNDER,,4.0,0
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Points,9.5,-120,FanDuel,OVER,,10.0,1
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Points,9.5,-110,DraftKings,OVER,,10.0,1
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Points,9.5,-132,BetMGM,OVER,,10.0,1
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Points,9.5,-106,FanDuel,UNDER,,10.0,0
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Points,9.5,-115,DraftKings,UNDER,,10.0,0
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Points,9.5,-104,BetMGM,UNDER,,10.0,0
Aaron Gordon,Denver Nuggets,Minnesota Timberwolves,Points,11.5,-115,DraftKings,OVER,,,
Aaron Gordon,Denver Nuggets,Minnesota Timberwolves,Points,11.5,-111,DraftKings,UNDER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Points,29.5,-128,FanDuel,OVER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Points,29.5,-111,DraftKings,OVER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Points,29.5,-114,BetMGM,OVER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Points,29.5,100,FanDuel,UNDER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Points,29.5,-115,DraftKings,UNDER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Points,29.5,-118,BetMGM,UNDER,,,
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Points,10.5,-130,FanDuel,OVER,,3.0,0
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Points,11.5,-106,DraftKings,OVER,,3.0,0
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Points,11.5,100,BetMGM,OVER,,3.0,0
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Points,10.5,102,FanDuel,UNDER,,3.0,1
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Points,11.5,-121,DraftKings,UNDER,,3.0,1
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Points,11.5,-134,BetMGM,UNDER,,3.0,1
Jamal Murray,Denver Nuggets,Minnesota Timberwolves,Rebounds,4.5,-130,FanDuel,OVER,,6.0,1
Jamal Murray,Denver Nuggets,Minnesota Timberwolves,Rebounds,4.5,-143,DraftKings,OVER,,6.0,1
Jamal Murray,Denver Nuggets,Minnesota Timberwolves,Rebounds,5.5,123,BetMGM,OVER,,6.0,1
Jamal Murray,Denver Nuggets,Minnesota Timberwolves,Rebounds,4.5,102,FanDuel,UNDER,,6.0,0
Jamal Murray,Denver Nuggets,Minnesota Timberwolves,Rebounds,4.5,109,DraftKings,UNDER,,6.0,0
Jamal Murray,Denver Nuggets,Minnesota Timberwolves,Rebounds,5.5,-167,BetMGM,UNDER,,6.0,0
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Rebounds,13.5,-130,FanDuel,OVER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Rebounds,13.5,-135,DraftKings,OVER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Rebounds,13.5,-136,BetMGM,OVER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Rebounds,13.5,102,FanDuel,UNDER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Rebounds,13.5,102,DraftKings,UNDER,,,
Nikola Jokic,Denver Nuggets,Minnesota Timberwolves,Rebounds,13.5,100,BetMGM,UNDER,,,
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Rebounds,4.5,-122,FanDuel,OVER,,1.0,0
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Rebounds,4.5,-131,DraftKings,OVER,,1.0,0
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Rebounds,4.5,-120,BetMGM,OVER,,1.0,0
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Rebounds,4.5,-104,FanDuel,UNDER,,1.0,1
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Rebounds,4.5,-101,DraftKings,UNDER,,1.0,1
Christian Braun,Denver Nuggets,Minnesota Timberwolves,Rebounds,4.5,-114,BetMGM,UNDER,,1.0,1
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Rebounds,4.5,104,FanDuel,OVER,,0.0,0
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Rebounds,4.5,104,DraftKings,OVER,,0.0,0
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Rebounds,4.5,110,BetMGM,OVER,,0.0,0
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Rebounds,4.5,-132,FanDuel,UNDER,,0.0,1
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Rebounds,4.5,-137,DraftKings,UNDER,,0.0,1
Ayo Dosunmu,Minnesota Timberwolves,Denver Nuggets,Rebounds,4.5,-150,BetMGM,UNDER,,0.0,1
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Rebounds,11.5,-102,FanDuel,OVER,,13.0,1
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Rebounds,11.5,108,DraftKings,OVER,,13.0,1
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Rebounds,11.5,-105,BetMGM,OVER,,13.0,1
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Rebounds,11.5,-125,FanDuel,UNDER,,13.0,0
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Rebounds,11.5,-143,DraftKings,UNDER,,13.0,0
Rudy Gobert,Minnesota Timberwolves,Denver Nuggets,Rebounds,11.5,-130,BetMGM,UNDER,,13.0,0
Julius Randle,Minnesota Timberwolves,Denver Nuggets,Rebounds,7.5,101,DraftKings,OVER,,4.0,0
Julius Randle,Minnesota Timberwolves,Denver Nuggets,Rebounds,7.5,-106,BetMGM,OVER,,4.0,0
Julius Randle,Minnesota Timberwolves,Denver Nuggets,Rebounds,7.5,-133,DraftKings,UNDER,,4.0,1
Julius Randle,Minnesota Timberwolves,Denver Nuggets,Rebounds,7.5,-129,BetMGM,UNDER,,4.0,1
Cameron Johnson,Denver Nuggets,Minnesota Timberwolves,Rebounds,3.5,124,FanDuel,OVER,,8.0,1
Cameron Johnson,Denver Nuggets,Minnesota Timberwolves,Rebounds,3.5,122,DraftKings,OVER,,8.0,1
Cameron Johnson,Denver Nuggets,Minnesota Timberwolves,Rebounds,3.5,123,BetMGM,OVER,,8.0,1
Cameron Johnson,Denver Nuggets,Minnesota Timberwolves,Rebounds,3.5,-160,FanDuel,UNDER,,8.0,0
