Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
RJ Barrett,Toronto Raptors,Cleveland Cavaliers,Points,23.5,-113,FanDuel,OVER,,24.0,1
RJ Barrett,Toronto Raptors,Cleveland Cavaliers,Points,23.5,-110,DraftKings,OVER,,24.0,1
RJ Barrett,Toronto Raptors,Cleveland Cavaliers,Points,23.5,-107,BetMGM,OVER,,24.0,1
RJ Barrett,Toronto Raptors,Cleveland Cavaliers,Points,23.5,-113,FanDuel,UNDER,,24.0,0
RJ Barrett,Toronto Raptors,Cleveland Cavaliers,Points,23.5,-116,DraftKings,UNDER,,24.0,0
RJ Barrett,Toronto Raptors,Cleveland Cavaliers,Points,23.5,-127,BetMGM,UNDER,,24.0,0
Jakob Poeltl,Toronto Raptors,Cleveland Cavaliers,Points,7.5,-127,DraftKings,OVER,,2.0,0
Jakob Poeltl,Toronto Raptors,Cleveland Cavaliers,Points,7.5,-127,BetMGM,OVER,,2.0,0
Jakob Poeltl,Toronto Raptors,Cleveland Cavaliers,Points,7.5,-101,DraftKings,UNDER,,2.0,1
Jakob Poeltl,Toronto Raptors,Cleveland Cavaliers,Points,7.5,-107,BetMGM,UNDER,,2.0,1
Dennis Schroder,Cleveland Cavaliers,Toronto Raptors,Points,6.5,-104,DraftKings,OVER,,,
Dennis Schroder,Cleveland Cavaliers,Toronto Raptors,Points,5.5,-139,BetMGM,OVER,,,
Dennis Schroder,Cleveland Cavaliers,Toronto Raptors,Points,6.5,-123,DraftKings,UNDER,,,
Dennis Schroder,Cleveland Cavaliers,Toronto Raptors,Points,5.5,102,BetMGM,UNDER,,,
Brandon Ingram,Toronto Raptors,Cleveland Cavaliers,Points,17.5,-122,DraftKings,OVER,,,
Brandon Ingram,Toronto Raptors,Cleveland Cavaliers,Points,17.5,-129,BetMGM,OVER,,,
Brandon Ingram,Toronto Raptors,Cleveland Cavaliers,Points,17.5,-104,DraftKings,UNDER,,,
Brandon Ingram,Toronto Raptors,Cleveland Cavaliers,Points,17.5,-106,BetMGM,UNDER,,,
James Harden,Cleveland Cavaliers,Toronto Raptors,Points,20.5,-108,FanDuel,OVER,,16.0,0
