Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Jaxson Hayes,Los Angeles Lakers,Houston Rockets,Points,4.5,-120,DraftKings,OVER,,5.0,1
Jaxson Hayes,Los Angeles Lakers,Houston Rockets,Points,4.5,-129,BetMGM,OVER,,5.0,1
Jaxson Hayes,Los Angeles Lakers,Houston Rockets,Points,4.5,-106,DraftKings,UNDER,,5.0,0
Jaxson Hayes,Los Angeles Lakers,Houston Rockets,Points,4.5,-106,BetMGM,UNDER,,5.0,0
Josh Okogie,Houston Rockets,Los Angeles Lakers,Points,3.5,-127,DraftKings,OVER,,3.0,0
Josh Okogie,Houston Rockets,Los Angeles Lakers,Points,4.5,-105,BetMGM,OVER,,3.0,0
Josh Okogie,Houston Rockets,Los Angeles Lakers,Points,3.5,100,DraftKings,UNDER,,3.0,1
Josh Okogie,Houston Rockets,Los Angeles Lakers,Points,4.5,-130,BetMGM,UNDER,,3.0,1
Rui Hachimura,Los Angeles Lakers,Houston Rockets,Points,11.5,-127,DraftKings,OVER,,21.0,1
Rui Hachimura,Los Angeles Lakers,Houston Rockets,Points,11.5,-121,BetMGM,OVER,,21.0,1
Rui Hachimura,Los Angeles Lakers,Houston Rockets,Points,11.5,-101,DraftKings,UNDER,,21.0,0
Rui Hachimura,Los Angeles Lakers,Houston Rockets,Points,11.5,-113,BetMGM,UNDER,,21.0,0
Tari Eason,Houston Rockets,Los Angeles Lakers,Points,13.5,-103,DraftKings,OVER,,14.0,1
Tari Eason,Houston Rockets,Los Angeles Lakers,Points,13.5,-108,BetMGM,OVER,,14.0,1
Tari Eason,Houston Rockets,Los Angeles Lakers,Points,13.5,-124,DraftKings,UNDER,,14.0,0
Tari Eason,Houston Rockets,Los Angeles Lakers,Points,13.5,-127,BetMGM,UNDER,,14.0,0
Austin Reaves,Los Angeles Lakers,Houston Rockets,Points,23.5,-108,FanDuel,OVER,,15.0,0
Austin Reaves,Los Angeles Lakers,Houston Rockets,Points,23.5,-108,DraftKings,OVER,,15.0,0
Austin Reaves,Los Angeles Lakers,Houston Rockets,Points,23.5,-108,BetMGM,OVER,,15.0,0
Austin Reaves,Los Angeles Lakers,Houston Rockets,Points,23.5,-118,FanDuel,UNDER,,15.0,1
Austin Reaves,Los Angeles Lakers,Houston Rockets,Points,23.5,-118,DraftKings,UNDER,,15.0,1
Austin Reaves,Los Angeles Lakers,Houston Rockets,Points,23.5,-127,BetMGM,UNDER,,15.0,1
Marcus Smart,Los Angeles Lakers,Houston Rockets,Points,10.5,-108,DraftKings,OVER,,7.0,0
Marcus Smart,Los Angeles Lakers,Houston Rockets,Points,10.5,-120,BetMGM,OVER,,7.0,0
Marcus Smart,Los Angeles Lakers,Houston Rockets,Points,10.5,-118,DraftKings,UNDER,,7.0,1
Marcus Smart,Los Angeles Lakers,Houston Rockets,Points,10.5,-113,BetMGM,UNDER,,7.0,1
Alperen Sengun,Houston Rockets,Los Angeles Lakers,Points,22.5,-106,FanDuel,OVER,,,
Alperen Sengun,Houston Rockets,Los Angeles Lakers,Points,22.5,-106,DraftKings,OVER,,,
Alperen Sengun,Houston Rockets,Los Angeles Lakers,Points,22.5,-105,BetMGM,OVER,,,
Alperen Sengun,Houston Rockets,Los Angeles Lakers,Points,22.5,-120,FanDuel,UNDER,,,
Alperen Sengun,Houston Rockets,Los Angeles Lakers,Points,22.5,-120,DraftKings,UNDER,,,
Alperen Sengun,Houston Rockets,Los Angeles Lakers,Points,22.5,-130,BetMGM,UNDER,,,
Jabari Smith Jr.,Houston Rockets,Los Angeles Lakers,Points,17.5,-111,FanDuel,OVER,,9.0,0
Jabari Smith Jr.,Houston Rockets,Los Angeles Lakers,Points,17.5,-105,DraftKings,OVER,,9.0,0
Jabari Smith Jr.,Houston Rockets,Los Angeles Lakers,Points,17.5,-108,BetMGM,OVER,,9.0,0
Jabari Smith Jr.,Houston Rockets,Los Angeles Lakers,Points,17.5,-115,FanDuel,UNDER,,9.0,1
Jabari Smith Jr.,Houston Rockets,Los Angeles Lakers,Points,17.5,-122,DraftKings,UNDER,,9.0,1
Jabari Smith Jr.,Houston Rockets,Los Angeles Lakers,Points,17.5,-127,BetMGM,UNDER,,9.0,1
LeBron James,Los Angeles Lakers,Houston Rockets,Points,22.5,-104,FanDuel,OVER,,28.0,1
LeBron James,Los Angeles Lakers,Houston Rockets,Points,22.5,-103,DraftKings,OVER,,28.0,1
LeBron James,Los Angeles Lakers,Houston Rockets,Points,21.5,-120,BetMGM,OVER,,28.0,1
LeBron James,Los Angeles Lakers,Houston Rockets,Points,22.5,-122,FanDuel,UNDER,,28.0,0
LeBron James,Los Angeles Lakers,Houston Rockets,Points,22.5,-123,DraftKings,UNDER,,28.0,0
LeBron James,Los Angeles Lakers,Houston Rockets,Points,21.5,-113,BetMGM,UNDER,,28.0,0
Deandre Ayton,Los Angeles Lakers,Houston Rockets,Points,11.5,-115,FanDuel,OVER,,7.0,0
Deandre Ayton,Los Angeles Lakers,Houston Rockets,Points,11.5,-116,DraftKings,OVER,,7.0,0
Deandre Ayton,Los Angeles Lakers,Houston Rockets,Points,11.5,-114,BetMGM,OVER,,7.0,0
Deandre Ayton,Los Angeles Lakers,Houston Rockets,Points,11.5,-111,FanDuel,UNDER,,7.0,1
Deandre Ayton,Los Angeles Lakers,Houston Rockets,Points,11.5,-110,DraftKings,UNDER,,7.0,1
Deandre Ayton,Los Angeles Lakers,Houston Rockets,Points,11.5,-118,BetMGM,UNDER,,7.0,1
Rui Hachimura,Los Angeles Lakers,Houston Rockets,Rebounds,3.5,-120,DraftKings,OVER,,6.0,1
Rui Hachimura,Los Angeles Lakers,Houston Rockets,Rebounds,3.5,-120,BetMGM,OVER,,6.0,1
Rui Hachimura,Los Angeles Lakers,Houston Rockets,Rebounds,3.5,-109,DraftKings,UNDER,,6.0,0
Rui Hachimura,Los Angeles Lakers,Houston Rockets,Rebounds,3.5,-114,BetMGM,UNDER,,6.0,0
Reed Sheppard,Houston Rockets,Los Angeles Lakers,Rebounds,2.5,-123,DraftKings,OVER,,0.0,0
Reed Sheppard,Houston Rockets,Los Angeles Lakers,Rebounds,2.5,-105,BetMGM,OVER,,0.0,0
Reed Sheppard,Houston Rockets,Los Angeles Lakers,Rebounds,2.5,-107,DraftKings,UNDER,,0.0,1
Reed Sheppard,Houston Rockets,Los Angeles Lakers,Rebounds,2.5,-129,BetMGM,UNDER,,0.0,1
Deandre Ayton,Los Angeles Lakers,Houston Rockets,Rebounds,8.5,-113,FanDuel,OVER,,16.0,1
Deandre Ayton,Los Angeles Lakers,Houston Rockets,Rebounds,8.5,-112,DraftKings,OVER,,16.0,1
Deandre Ayton,Los Angeles Lakers,Houston Rockets,Rebounds,8.5,-121,BetMGM,OVER,,16.0,1
