Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb
Quentin Grimes,Philadelphia 76ers,Boston Celtics,Points,6.5,100,FanDuel,OVER,
Quentin Grimes,Philadelphia 76ers,Boston Celtics,Points,6.5,-101,DraftKings,OVER,
Quentin Grimes,Philadelphia 76ers,Boston Celtics,Points,6.5,-117,BetMGM,OVER,
Quentin Grimes,Philadelphia 76ers,Boston Celtics,Points,6.5,-128,FanDuel,UNDER,
Quentin Grimes,Philadelphia 76ers,Boston Celtics,Points,6.5,-126,DraftKings,UNDER,
Quentin Grimes,Philadelphia 76ers,Boston Celtics,Points,6.5,-117,BetMGM,UNDER,
Jordan Walsh,Boston Celtics,Philadelphia 76ers,Points,2.5,105,DraftKings,OVER,
Jordan Walsh,Boston Celtics,Philadelphia 76ers,Points,2.5,-133,DraftKings,UNDER,
Baylor Scheierman,Boston Celtics,Philadelphia 76ers,Points,7.5,-102,DraftKings,OVER,
Baylor Scheierman,Boston Celtics,Philadelphia 76ers,Points,6.5,-107,BetMGM,OVER,
Baylor Scheierman,Boston Celtics,Philadelphia 76ers,Points,7.5,-125,DraftKings,UNDER,
Baylor Scheierman,Boston Celtics,Philadelphia 76ers,Points,6.5,-127,BetMGM,UNDER,
VJ Edgecombe,Philadelphia 76ers,Boston Celtics,Points,11.5,-102,FanDuel,OVER,
VJ Edgecombe,Philadelphia 76ers,Boston Celtics,Points,11.5,-110,DraftKings,OVER,
VJ Edgecombe,Philadelphia 76ers,Boston Celtics,Points,11.5,-112,BetMGM,OVER,
VJ Edgecombe,Philadelphia 76ers,Boston Celtics,Points,11.5,-125,FanDuel,UNDER,
VJ Edgecombe,Philadelphia 76ers,Boston Celtics,Points,11.5,-116,DraftKings,UNDER,
VJ Edgecombe,Philadelphia 76ers,Boston Celtics,Points,11.5,-122,BetMGM,UNDER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,Points,24.5,-102,FanDuel,OVER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,Points,24.5,-102,DraftKings,OVER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,Points,24.5,-124,BetMGM,OVER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,Points,24.5,-125,FanDuel,UNDER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,Points,24.5,-125,DraftKings,UNDER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,Points,24.5,-110,BetMGM,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Points,30.5,-117,DraftKings,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Points,30.5,-107,BetMGM,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Points,30.5,-109,DraftKings,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Points,30.5,-127,BetMGM,UNDER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,Points,22.5,-117,DraftKings,OVER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,Points,23.5,-105,BetMGM,OVER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,Points,22.5,-109,DraftKings,UNDER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,Points,23.5,-130,BetMGM,UNDER,
Neemias Queta,Boston Celtics,Philadelphia 76ers,Points,7.5,-117,DraftKings,OVER,
Neemias Queta,Boston Celtics,Philadelphia 76ers,Points,8.5,-112,BetMGM,OVER,
Neemias Queta,Boston Celtics,Philadelphia 76ers,Points,7.5,-109,DraftKings,UNDER,
Neemias Queta,Boston Celtics,Philadelphia 76ers,Points,8.5,-121,BetMGM,UNDER,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Points,5.5,-112,DraftKings,OVER,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Points,6.5,-112,BetMGM,OVER,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Points,5.5,-114,DraftKings,UNDER,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Points,6.5,-122,BetMGM,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,Points,15.5,-115,FanDuel,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,Points,15.5,-111,DraftKings,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,Points,15.5,-121,BetMGM,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,Points,15.5,-111,FanDuel,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,Points,15.5,-115,DraftKings,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,Points,15.5,-113,BetMGM,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,Rebounds,5.5,-101,DraftKings,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,Rebounds,5.5,-104,BetMGM,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,Rebounds,5.5,-130,DraftKings,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,Rebounds,5.5,-132,BetMGM,UNDER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,Rebounds,3.5,-162,DraftKings,OVER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,Rebounds,3.5,-139,BetMGM,OVER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,Rebounds,3.5,122,DraftKings,UNDER,
Tyrese Maxey,Philadelphia 76ers,Boston Celtics,Rebounds,3.5,102,BetMGM,UNDER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,Rebounds,10.5,102,FanDuel,OVER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,Rebounds,10.5,101,DraftKings,OVER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,Rebounds,9.5,-148,BetMGM,OVER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,Rebounds,10.5,-130,FanDuel,UNDER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,Rebounds,10.5,-133,DraftKings,UNDER,
Jayson Tatum,Boston Celtics,Philadelphia 76ers,Rebounds,9.5,107,BetMGM,UNDER,
Derrick White,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,100,FanDuel,OVER,
Derrick White,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,-122,DraftKings,OVER,
Derrick White,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,102,BetMGM,OVER,
Derrick White,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,-128,FanDuel,UNDER,
Derrick White,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,-108,DraftKings,UNDER,
Derrick White,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,-139,BetMGM,UNDER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Rebounds,3.5,-166,DraftKings,OVER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,112,BetMGM,OVER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Rebounds,3.5,126,DraftKings,UNDER,
Payton Pritchard,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,-155,BetMGM,UNDER,
Sam Hauser,Boston Celtics,Philadelphia 76ers,Rebounds,3.5,-105,DraftKings,OVER,
Sam Hauser,Boston Celtics,Philadelphia 76ers,Rebounds,3.5,-125,DraftKings,UNDER,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Rebounds,3.5,-152,DraftKings,OVER,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,-110,BetMGM,OVER,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Rebounds,3.5,116,DraftKings,UNDER,
Nikola Vucevic,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,-124,BetMGM,UNDER,
Quentin Grimes,Philadelphia 76ers,Boston Celtics,Rebounds,2.5,109,DraftKings,OVER,
Quentin Grimes,Philadelphia 76ers,Boston Celtics,Rebounds,2.5,-144,DraftKings,UNDER,
Baylor Scheierman,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,-129,DraftKings,OVER,
Baylor Scheierman,Boston Celtics,Philadelphia 76ers,Rebounds,4.5,-102,DraftKings,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Rebounds,8.5,-120,FanDuel,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Rebounds,8.5,-131,DraftKings,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Rebounds,9.5,112,BetMGM,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Rebounds,8.5,-106,FanDuel,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Rebounds,8.5,-101,DraftKings,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Rebounds,9.5,-152,BetMGM,UNDER,
Luka Garza,Boston Celtics,Philadelphia 76ers,Assists,0.5,-128,DraftKings,OVER,
Luka Garza,Boston Celtics,Philadelphia 76ers,Assists,0.5,-103,DraftKings,UNDER,
Ron Harper Jr.,FA,Boston Celtics,Assists,1.5,129,DraftKings,OVER,
Ron Harper Jr.,FA,Boston Celtics,Assists,1.5,-170,DraftKings,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,5.5,106,FanDuel,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,4.5,-159,DraftKings,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,5.5,108,BetMGM,OVER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,5.5,-136,FanDuel,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,4.5,120,DraftKings,UNDER,
Jaylen Brown,Boston Celtics,Philadelphia 76ers,Assists,5.5,-148,BetMGM,UNDER,
Neemias Queta,Boston Celtics,Philadelphia 76ers,Assists,1.5,166,DraftKings,OVER,
Neemias Queta,Boston Celtics,Philadelphia 76ers,Assists,1.5,-221,DraftKings,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,-104,FanDuel,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,113,DraftKings,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,-103,BetMGM,OVER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,-122,FanDuel,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,-149,DraftKings,UNDER,
Joel Embiid,Philadelphia 76ers,Boston Celtics,Assists,5.5,-134,BetMGM,UNDER,
Paul George,Philadelphia 76ers,Boston Celtics,Assists,3.5,102,FanDuel,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,Assists,3.5,100,DraftKings,OVER,
Paul George,Philadelphia 76ers,Boston Celtics,Assists,3.5,110,BetMGM,OVER,
