Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Dylan Harper,San Antonio Spurs,Minnesota Timberwolves,Points,11.5,-103,DraftKings,OVER,,11.0,0
Dylan Harper,San Antonio Spurs,Minnesota Timberwolves,Points,11.5,-106,BetMGM,OVER,,11.0,0
Dylan Harper,San Antonio Spurs,Minnesota Timberwolves,Points,11.5,-124,DraftKings,UNDER,,11.0,1
Dylan Harper,San Antonio Spurs,Minnesota Timberwolves,Points,11.5,-129,BetMGM,UNDER,,11.0,1
Naz Reid,Minnesota Timberwolves,San Antonio Spurs,Points,11.5,-106,DraftKings,OVER,,11.0,0
Naz Reid,Minnesota Timberwolves,San Antonio Spurs,Points,12.5,-105,BetMGM,OVER,,11.0,0
Naz Reid,Minnesota Timberwolves,San Antonio Spurs,Points,11.5,-120,DraftKings,UNDER,,11.0,1
Naz Reid,Minnesota Timberwolves,San Antonio Spurs,Points,12.5,-130,BetMGM,UNDER,,11.0,1
Luke Kornet,San Antonio Spurs,Minnesota Timberwolves,Points,3.5,-102,DraftKings,OVER,,4.0,1
Luke Kornet,San Antonio Spurs,Minnesota Timberwolves,Points,3.5,-125,DraftKings,UNDER,,4.0,0
Terrence Shannon Jr.,Minnesota Timberwolves,San Antonio Spurs,Points,9.5,-122,DraftKings,OVER,,12.0,1
Terrence Shannon Jr.,Minnesota Timberwolves,San Antonio Spurs,Points,9.5,-104,DraftKings,UNDER,,12.0,0
Rudy Gobert,Minnesota Timberwolves,San Antonio Spurs,Points,7.5,-124,DraftKings,OVER,,5.0,0
Rudy Gobert,Minnesota Timberwolves,San Antonio Spurs,Points,7.5,-125,BetMGM,OVER,,5.0,0
Rudy Gobert,Minnesota Timberwolves,San Antonio Spurs,Points,7.5,-103,DraftKings,UNDER,,5.0,1
Rudy Gobert,Minnesota Timberwolves,San Antonio Spurs,Points,7.5,-109,BetMGM,UNDER,,5.0,1
De'Aaron Fox,San Antonio Spurs,Minnesota Timberwolves,Points,17.5,-104,DraftKings,OVER,,16.0,0
De'Aaron Fox,San Antonio Spurs,Minnesota Timberwolves,Points,17.5,-104,FanDuel,OVER,,16.0,0
De'Aaron Fox,San Antonio Spurs,Minnesota Timberwolves,Points,17.5,-109,BetMGM,OVER,,16.0,0
De'Aaron Fox,San Antonio Spurs,Minnesota Timberwolves,Points,17.5,-122,DraftKings,UNDER,,16.0,1
De'Aaron Fox,San Antonio Spurs,Minnesota Timberwolves,Points,17.5,-122,FanDuel,UNDER,,16.0,1
De'Aaron Fox,San Antonio Spurs,Minnesota Timberwolves,Points,17.5,-125,BetMGM,UNDER,,16.0,1
Victor Wembanyama,San Antonio Spurs,Minnesota Timberwolves,Points,26.5,-120,DraftKings,OVER,,19.0,0
Victor Wembanyama,San Antonio Spurs,Minnesota Timberwolves,Points,26.5,-115,FanDuel,OVER,,19.0,0
Victor Wembanyama,San Antonio Spurs,Minnesota Timberwolves,Points,26.5,-118,BetMGM,OVER,,19.0,0
Victor Wembanyama,San Antonio Spurs,Minnesota Timberwolves,Points,26.5,-106,DraftKings,UNDER,,19.0,1
Victor Wembanyama,San Antonio Spurs,Minnesota Timberwolves,Points,26.5,-111,FanDuel,UNDER,,19.0,1
Victor Wembanyama,San Antonio Spurs,Minnesota Timberwolves,Points,26.5,-114,BetMGM,UNDER,,19.0,1
Julius Randle,Minnesota Timberwolves,San Antonio Spurs,Points,18.5,-115,DraftKings,OVER,,12.0,0
Julius Randle,Minnesota Timberwolves,San Antonio Spurs,Points,18.5,-111,FanDuel,OVER,,12.0,0
Julius Randle,Minnesota Timberwolves,San Antonio Spurs,Points,18.5,-108,BetMGM,OVER,,12.0,0
Julius Randle,Minnesota Timberwolves,San Antonio Spurs,Points,18.5,-111,DraftKings,UNDER,,12.0,1
Julius Randle,Minnesota Timberwolves,San Antonio Spurs,Points,18.5,-115,FanDuel,UNDER,,12.0,1
Julius Randle,Minnesota Timberwolves,San Antonio Spurs,Points,18.5,-127,BetMGM,UNDER,,12.0,1
Ayo Dosunmu,Minnesota Timberwolves,San Antonio Spurs,Points,10.5,-107,DraftKings,OVER,,0.0,0
Ayo Dosunmu,Minnesota Timberwolves,San Antonio Spurs,Points,10.5,-110,BetMGM,OVER,,0.0,0
