Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,15.5,-122,FanDuel,OVER,,20.0,1
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,15.5,-118,DraftKings,OVER,,20.0,1
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-105,BetMGM,OVER,,20.0,1
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,15.5,-104,FanDuel,UNDER,,20.0,0
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,15.5,-108,DraftKings,UNDER,,20.0,0
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-130,BetMGM,UNDER,,20.0,0
Alex Caruso,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-122,DraftKings,OVER,,5.0,0
Alex Caruso,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-108,BetMGM,OVER,,5.0,0
Alex Caruso,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-105,DraftKings,UNDER,,5.0,1
Alex Caruso,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-127,BetMGM,UNDER,,5.0,1
Austin Reaves,Los Angeles Lakers,Oklahoma City Thunder,Points,18.5,-115,FanDuel,OVER,,31.0,1
Austin Reaves,Los Angeles Lakers,Oklahoma City Thunder,Points,18.5,-120,DraftKings,OVER,,31.0,1
Austin Reaves,Los Angeles Lakers,Oklahoma City Thunder,Points,18.5,-109,BetMGM,OVER,,31.0,1
Austin Reaves,Los Angeles Lakers,Oklahoma City Thunder,Points,18.5,-111,FanDuel,UNDER,,31.0,0
Austin Reaves,Los Angeles Lakers,Oklahoma City Thunder,Points,18.5,-106,DraftKings,UNDER,,31.0,0
Austin Reaves,Los Angeles Lakers,Oklahoma City Thunder,Points,18.5,-125,BetMGM,UNDER,,31.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-108,FanDuel,OVER,,22.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-116,DraftKings,OVER,,22.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-113,BetMGM,OVER,,22.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-118,FanDuel,UNDER,,22.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-110,DraftKings,UNDER,,22.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-120,BetMGM,UNDER,,22.0,1
Isaiah Joe,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,113,DraftKings,OVER,,4.0,0
Isaiah Joe,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,102,BetMGM,OVER,,4.0,0
Isaiah Joe,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-145,DraftKings,UNDER,,4.0,1
Isaiah Joe,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-139,BetMGM,UNDER,,4.0,1
Luguentz Dort,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-119,DraftKings,OVER,,3.0,0
Luguentz Dort,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-114,BetMGM,OVER,,3.0,0
Luguentz Dort,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-107,DraftKings,UNDER,,3.0,1
Luguentz Dort,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-118,BetMGM,UNDER,,3.0,1
Isaiah Hartenstein,Oklahoma City Thunder,Los Angeles Lakers,Points,7.5,-120,DraftKings,OVER,,10.0,1
Isaiah Hartenstein,Oklahoma City Thunder,Los Angeles Lakers,Points,7.5,-137,BetMGM,OVER,,10.0,1
