Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Jarrett Allen,Cleveland Cavaliers,Detroit Pistons,Points,12.5,-109,DraftKings,OVER,,13.0,1
Jarrett Allen,Cleveland Cavaliers,Detroit Pistons,Points,12.5,-117,DraftKings,UNDER,,13.0,0
Max Strus,Cleveland Cavaliers,Detroit Pistons,Points,9.5,-117,DraftKings,OVER,,6.0,0
Max Strus,Cleveland Cavaliers,Detroit Pistons,Points,9.5,-109,DraftKings,UNDER,,6.0,1
Ausar Thompson,Detroit Pistons,Cleveland Cavaliers,Points,8.5,-113,DraftKings,OVER,,10.0,1
Ausar Thompson,Detroit Pistons,Cleveland Cavaliers,Points,8.5,-112,DraftKings,UNDER,,10.0,0
Dean Wade,Cleveland Cavaliers,Detroit Pistons,Points,2.5,-169,DraftKings,OVER,,3.0,1
Dean Wade,Cleveland Cavaliers,Detroit Pistons,Points,2.5,132,DraftKings,UNDER,,3.0,0
Sam Merrill,Cleveland Cavaliers,Detroit Pistons,Points,6.5,-107,DraftKings,OVER,,10.0,1
Sam Merrill,Cleveland Cavaliers,Detroit Pistons,Points,6.5,-119,DraftKings,UNDER,,10.0,0
Jalen Duren,Detroit Pistons,Cleveland Cavaliers,Points,10.5,102,FanDuel,OVER,,15.0,1
Jalen Duren,Detroit Pistons,Cleveland Cavaliers,Points,10.5,-113,DraftKings,OVER,,15.0,1
Jalen Duren,Detroit Pistons,Cleveland Cavaliers,Points,10.5,-130,FanDuel,UNDER,,15.0,0
Jalen Duren,Detroit Pistons,Cleveland Cavaliers,Points,10.5,-113,DraftKings,UNDER,,15.0,0
Daniss Jenkins,Detroit Pistons,Cleveland Cavaliers,Points,10.5,-116,DraftKings,OVER,,15.0,1
Daniss Jenkins,Detroit Pistons,Cleveland Cavaliers,Points,10.5,-110,DraftKings,UNDER,,15.0,0
James Harden,Cleveland Cavaliers,Detroit Pistons,Points,19.5,100,FanDuel,OVER,,23.0,1
James Harden,Cleveland Cavaliers,Detroit Pistons,Points,19.5,-105,DraftKings,OVER,,23.0,1
James Harden,Cleveland Cavaliers,Detroit Pistons,Points,19.5,-128,FanDuel,UNDER,,23.0,0
James Harden,Cleveland Cavaliers,Detroit Pistons,Points,19.5,-121,DraftKings,UNDER,,23.0,0
Dennis Schroder,Cleveland Cavaliers,Detroit Pistons,Points,6.5,-109,DraftKings,OVER,,,
Dennis Schroder,Cleveland Cavaliers,Detroit Pistons,Points,6.5,-117,DraftKings,UNDER,,,
Duncan Robinson,Detroit Pistons,Cleveland Cavaliers,Points,8.5,101,DraftKings,OVER,,14.0,1
Duncan Robinson,Detroit Pistons,Cleveland Cavaliers,Points,8.5,-129,DraftKings,UNDER,,14.0,0
Tobias Harris,Detroit Pistons,Cleveland Cavaliers,Rebounds,6.5,-113,FanDuel,OVER,,5.0,0
Tobias Harris,Detroit Pistons,Cleveland Cavaliers,Rebounds,6.5,-101,DraftKings,OVER,,5.0,0
Tobias Harris,Detroit Pistons,Cleveland Cavaliers,Rebounds,6.5,-113,FanDuel,UNDER,,5.0,1
Tobias Harris,Detroit Pistons,Cleveland Cavaliers,Rebounds,6.5,-131,DraftKings,UNDER,,5.0,1
Caris LeVert,Detroit Pistons,Cleveland Cavaliers,Rebounds,1.5,-186,DraftKings,OVER,,3.0,1
Caris LeVert,Detroit Pistons,Cleveland Cavaliers,Rebounds,1.5,140,DraftKings,UNDER,,3.0,0
Ausar Thompson,Detroit Pistons,Cleveland Cavaliers,Rebounds,6.5,-141,DraftKings,OVER,,9.0,1
Ausar Thompson,Detroit Pistons,Cleveland Cavaliers,Rebounds,6.5,107,DraftKings,UNDER,,9.0,0
Duncan Robinson,Detroit Pistons,Cleveland Cavaliers,Rebounds,1.5,-169,DraftKings,OVER,,2.0,1
Duncan Robinson,Detroit Pistons,Cleveland Cavaliers,Rebounds,1.5,128,DraftKings,UNDER,,2.0,0
Paul Reed,Detroit Pistons,Cleveland Cavaliers,Rebounds,4.5,-124,DraftKings,OVER,,6.0,1
Paul Reed,Detroit Pistons,Cleveland Cavaliers,Rebounds,4.5,-106,DraftKings,UNDER,,6.0,0
Daniss Jenkins,Detroit Pistons,Cleveland Cavaliers,Rebounds,2.5,-148,DraftKings,OVER,,3.0,1
Daniss Jenkins,Detroit Pistons,Cleveland Cavaliers,Rebounds,2.5,112,DraftKings,UNDER,,3.0,0
Jalen Duren,Detroit Pistons,Cleveland Cavaliers,Rebounds,8.5,114,FanDuel,OVER,,11.0,1
Jalen Duren,Detroit Pistons,Cleveland Cavaliers,Rebounds,7.5,-136,DraftKings,OVER,,11.0,1
Jalen Duren,Detroit Pistons,Cleveland Cavaliers,Rebounds,8.5,-146,FanDuel,UNDER,,11.0,0
Jalen Duren,Detroit Pistons,Cleveland Cavaliers,Rebounds,7.5,103,DraftKings,UNDER,,11.0,0
Dean Wade,Cleveland Cavaliers,Detroit Pistons,Rebounds,3.5,108,DraftKings,OVER,,3.0,0
Dean Wade,Cleveland Cavaliers,Detroit Pistons,Rebounds,3.5,-142,DraftKings,UNDER,,3.0,1
James Harden,Cleveland Cavaliers,Detroit Pistons,Rebounds,4.5,-130,FanDuel,OVER,,7.0,1
James Harden,Cleveland Cavaliers,Detroit Pistons,Rebounds,4.5,-123,DraftKings,OVER,,7.0,1
James Harden,Cleveland Cavaliers,Detroit Pistons,Rebounds,4.5,102,FanDuel,UNDER,,7.0,0
James Harden,Cleveland Cavaliers,Detroit Pistons,Rebounds,4.5,-107,DraftKings,UNDER,,7.0,0
Donovan Mitchell,Cleveland Cavaliers,Detroit Pistons,Rebounds,4.5,-115,FanDuel,OVER,,4.0,0
Donovan Mitchell,Cleveland Cavaliers,Detroit Pistons,Rebounds,4.5,-118,DraftKings,OVER,,4.0,0
