Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Luke Kornet,San Antonio Spurs,Oklahoma City Thunder,Points,3.5,-107,DraftKings,OVER,,0.0,0
Luke Kornet,San Antonio Spurs,Oklahoma City Thunder,Points,3.5,-120,DraftKings,UNDER,,0.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,30.5,-108,DraftKings,OVER,,24.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,30.5,-115,FanDuel,OVER,,24.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,30.5,-118,DraftKings,UNDER,,24.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,30.5,-111,FanDuel,UNDER,,24.0,1
Isaiah Hartenstein,Oklahoma City Thunder,San Antonio Spurs,Points,7.5,-130,DraftKings,OVER,,2.0,0
Isaiah Hartenstein,Oklahoma City Thunder,San Antonio Spurs,Points,7.5,102,DraftKings,UNDER,,2.0,1
Dylan Harper,San Antonio Spurs,Oklahoma City Thunder,Points,13.5,-125,DraftKings,OVER,,24.0,1
Dylan Harper,San Antonio Spurs,Oklahoma City Thunder,Points,13.5,-102,DraftKings,UNDER,,24.0,0
Jaylin Williams,Oklahoma City Thunder,San Antonio Spurs,Points,3.5,103,DraftKings,OVER,,0.0,0
Jaylin Williams,Oklahoma City Thunder,San Antonio Spurs,Points,3.5,-132,DraftKings,UNDER,,0.0,1
Keldon Johnson,San Antonio Spurs,Oklahoma City Thunder,Points,11.5,-102,DraftKings,OVER,,13.0,1
Keldon Johnson,San Antonio Spurs,Oklahoma City Thunder,Points,11.5,-125,DraftKings,UNDER,,13.0,0
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,Points,17.5,-125,DraftKings,OVER,,17.0,0
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,Points,17.5,-122,FanDuel,OVER,,17.0,0
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,Points,17.5,-102,DraftKings,UNDER,,17.0,1
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,Points,17.5,-104,FanDuel,UNDER,,17.0,1
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Points,7.5,-120,DraftKings,OVER,,31.0,1
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Points,7.5,-106,DraftKings,UNDER,,31.0,0
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Points,16.5,-107,DraftKings,OVER,,,
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Points,15.5,-128,FanDuel,OVER,,,
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Points,16.5,-120,DraftKings,UNDER,,,
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Points,15.5,100,FanDuel,UNDER,,,
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Points,9.5,-110,DraftKings,OVER,,11.0,1
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Points,9.5,-120,FanDuel,OVER,,11.0,1
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Points,9.5,-116,DraftKings,UNDER,,11.0,0
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Points,9.5,-106,FanDuel,UNDER,,11.0,0
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-141,DraftKings,OVER,,7.0,1
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,107,DraftKings,UNDER,,7.0,0
Jaylin Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-104,DraftKings,OVER,,3.0,1
Jaylin Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-126,DraftKings,UNDER,,3.0,0
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Rebounds,3.5,100,DraftKings,OVER,,,
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Rebounds,3.5,106,FanDuel,OVER,,,
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Rebounds,3.5,-132,DraftKings,UNDER,,,
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Rebounds,3.5,-136,FanDuel,UNDER,,,
Cason Wallace,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,102,DraftKings,OVER,,6.0,1
Cason Wallace,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-135,DraftKings,UNDER,,6.0,0
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-170,DraftKings,OVER,,2.0,0
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,128,DraftKings,UNDER,,2.0,1
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Rebounds,5.5,112,DraftKings,OVER,,9.0,1
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Rebounds,5.5,126,FanDuel,OVER,,9.0,1
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Rebounds,5.5,-147,DraftKings,UNDER,,9.0,0
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Rebounds,5.5,-162,FanDuel,UNDER,,9.0,0
Ajay Mitchell,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,113,DraftKings,OVER,,4.0,1
Ajay Mitchell,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-149,DraftKings,UNDER,,4.0,0
Luguentz Dort,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-131,DraftKings,OVER,,3.0,1
Luguentz Dort,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-101,DraftKings,UNDER,,3.0,0
Devin Vassell,San Antonio Spurs,Oklahoma City Thunder,Rebounds,4.5,109,DraftKings,OVER,,6.0,1
Devin Vassell,San Antonio Spurs,Oklahoma City Thunder,Rebounds,4.5,124,FanDuel,OVER,,6.0,1
Devin Vassell,San Antonio Spurs,Oklahoma City Thunder,Rebounds,4.5,-144,DraftKings,UNDER,,6.0,0
Devin Vassell,San Antonio Spurs,Oklahoma City Thunder,Rebounds,4.5,-160,FanDuel,UNDER,,6.0,0
Luke Kornet,San Antonio Spurs,Oklahoma City Thunder,Rebounds,2.5,-168,DraftKings,OVER,,3.0,1
Luke Kornet,San Antonio Spurs,Oklahoma City Thunder,Rebounds,2.5,127,DraftKings,UNDER,,3.0,0
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,-134,DraftKings,OVER,,1.0,0
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,101,DraftKings,UNDER,,1.0,1
Jaylin Williams,Oklahoma City Thunder,San Antonio Spurs,Assists,0.5,-194,DraftKings,OVER,,0.0,0
Jaylin Williams,Oklahoma City Thunder,San Antonio Spurs,Assists,0.5,146,DraftKings,UNDER,,0.0,1
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Assists,5.5,106,DraftKings,OVER,,,
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Assists,5.5,102,FanDuel,OVER,,,
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Assists,5.5,-139,DraftKings,UNDER,,,
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Assists,5.5,-130,FanDuel,UNDER,,,
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Assists,1.5,108,DraftKings,OVER,,1.0,0
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Assists,1.5,-143,DraftKings,UNDER,,1.0,1
Cason Wallace,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,-136,DraftKings,OVER,,0.0,0
Cason Wallace,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,103,DraftKings,UNDER,,0.0,1
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,Assists,7.5,103,DraftKings,OVER,,11.0,1
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,Assists,7.5,114,FanDuel,OVER,,11.0,1
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,Assists,7.5,-136,DraftKings,UNDER,,11.0,0
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,Assists,7.5,-148,FanDuel,UNDER,,11.0,0
Devin Vassell,San Antonio Spurs,Oklahoma City Thunder,Assists,2.5,-125,DraftKings,OVER,,2.0,0
Devin Vassell,San Antonio Spurs,Oklahoma City Thunder,Assists,2.5,-113,FanDuel,OVER,,2.0,0
Devin Vassell,San Antonio Spurs,Oklahoma City Thunder,Assists,2.5,-106,DraftKings,UNDER,,2.0,1
Devin Vassell,San Antonio Spurs,Oklahoma City Thunder,Assists,2.5,-113,FanDuel,UNDER,,2.0,1
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,116,DraftKings,OVER,,0.0,0
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,110,FanDuel,OVER,,0.0,0
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,-153,DraftKings,UNDER,,0.0,1
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,-140,FanDuel,UNDER,,0.0,1
Isaiah Hartenstein,Oklahoma City Thunder,San Antonio Spurs,Assists,2.5,136,DraftKings,OVER,,2.0,0
Isaiah Hartenstein,Oklahoma City Thunder,San Antonio Spurs,Assists,2.5,-181,DraftKings,UNDER,,2.0,1
Ajay Mitchell,Oklahoma City Thunder,San Antonio Spurs,Assists,3.5,119,DraftKings,OVER,,5.0,1
Ajay Mitchell,Oklahoma City Thunder,San Antonio Spurs,Assists,3.5,-156,DraftKings,UNDER,,5.0,0
Dylan Harper,San Antonio Spurs,Oklahoma City Thunder,3-Pointers,0.5,-223,DraftKings,OVER,,1.0,1
Dylan Harper,San Antonio Spurs,Oklahoma City Thunder,3-Pointers,0.5,167,DraftKings,UNDER,,1.0,0
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,3-Pointers,1.5,-109,DraftKings,OVER,,8.0,1
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,3-Pointers,1.5,-121,DraftKings,UNDER,,8.0,0
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,3-Pointers,1.5,-114,DraftKings,OVER,,1.0,0
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,3-Pointers,1.5,-102,FanDuel,OVER,,1.0,0
Stephon Castle,San Antonio Spurs,Oklahoma City Thunder,3-Pointers,1.5,-115,DraftKings,UNDER,,1.0,1
