Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
James Harden,Cleveland Cavaliers,New York Knicks,Points,18.5,-104,FanDuel,OVER,,12.0,0
James Harden,Cleveland Cavaliers,New York Knicks,Points,18.5,-112,DraftKings,OVER,,12.0,0
James Harden,Cleveland Cavaliers,New York Knicks,Points,18.5,-122,FanDuel,UNDER,,12.0,1
James Harden,Cleveland Cavaliers,New York Knicks,Points,18.5,-114,DraftKings,UNDER,,12.0,1
Donovan Mitchell,Cleveland Cavaliers,New York Knicks,Points,26.5,-120,FanDuel,OVER,,31.0,1
Donovan Mitchell,Cleveland Cavaliers,New York Knicks,Points,27.5,-106,DraftKings,OVER,,31.0,1
Donovan Mitchell,Cleveland Cavaliers,New York Knicks,Points,26.5,-104,FanDuel,UNDER,,31.0,0
Donovan Mitchell,Cleveland Cavaliers,New York Knicks,Points,27.5,-120,DraftKings,UNDER,,31.0,0
Max Strus,Cleveland Cavaliers,New York Knicks,Points,10.5,-113,DraftKings,OVER,,5.0,0
Max Strus,Cleveland Cavaliers,New York Knicks,Points,10.5,-113,DraftKings,UNDER,,5.0,1
Josh Hart,New York Knicks,Cleveland Cavaliers,Points,12.5,-115,DraftKings,OVER,,6.0,0
Josh Hart,New York Knicks,Cleveland Cavaliers,Points,12.5,-111,DraftKings,UNDER,,6.0,1
Evan Mobley,Cleveland Cavaliers,New York Knicks,Points,16.5,-115,FanDuel,OVER,,15.0,0
Evan Mobley,Cleveland Cavaliers,New York Knicks,Points,16.5,-121,DraftKings,OVER,,15.0,0
Evan Mobley,Cleveland Cavaliers,New York Knicks,Points,16.5,-111,FanDuel,UNDER,,15.0,1
Evan Mobley,Cleveland Cavaliers,New York Knicks,Points,16.5,-106,DraftKings,UNDER,,15.0,1
Miles McBride,New York Knicks,Cleveland Cavaliers,Points,5.5,-105,DraftKings,OVER,,11.0,1
Miles McBride,New York Knicks,Cleveland Cavaliers,Points,5.5,-121,DraftKings,UNDER,,11.0,0
Jalen Brunson,New York Knicks,Cleveland Cavaliers,Points,26.5,-115,FanDuel,OVER,,15.0,0
Jalen Brunson,New York Knicks,Cleveland Cavaliers,Points,26.5,-119,DraftKings,OVER,,15.0,0
Jalen Brunson,New York Knicks,Cleveland Cavaliers,Points,26.5,-111,FanDuel,UNDER,,15.0,1
Jalen Brunson,New York Knicks,Cleveland Cavaliers,Points,26.5,-107,DraftKings,UNDER,,15.0,1
Dennis Schroder,Cleveland Cavaliers,New York Knicks,Points,4.5,-102,DraftKings,OVER,,,
Dennis Schroder,Cleveland Cavaliers,New York Knicks,Points,4.5,-125,DraftKings,UNDER,,,
Landry Shamet,New York Knicks,Cleveland Cavaliers,Points,5.5,-124,DraftKings,OVER,,16.0,1
