Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb
De'Aaron Fox,San Antonio Spurs,New York Knicks,Points,15.5,-105,BetMGM,OVER,
De'Aaron Fox,San Antonio Spurs,New York Knicks,Points,15.5,-125,BetMGM,UNDER,
Jalen Brunson,New York Knicks,San Antonio Spurs,Points,25.5,-105,BetMGM,OVER,
Jalen Brunson,New York Knicks,San Antonio Spurs,Points,25.5,-125,BetMGM,UNDER,
Josh Hart,New York Knicks,San Antonio Spurs,Points,11.5,-110,BetMGM,OVER,
Josh Hart,New York Knicks,San Antonio Spurs,Points,11.5,-120,BetMGM,UNDER,
Devin Vassell,San Antonio Spurs,New York Knicks,Points,12.5,-135,BetMGM,OVER,
Devin Vassell,San Antonio Spurs,New York Knicks,Points,12.5,100,BetMGM,UNDER,
Victor Wembanyama,San Antonio Spurs,New York Knicks,Points,27.5,-115,BetMGM,OVER,
Victor Wembanyama,San Antonio Spurs,New York Knicks,Points,27.5,-115,BetMGM,UNDER,
De'Aaron Fox,San Antonio Spurs,New York Knicks,Rebounds,3.5,-140,BetMGM,OVER,
De'Aaron Fox,San Antonio Spurs,New York Knicks,Rebounds,3.5,105,BetMGM,UNDER,
Mikal Bridges,New York Knicks,San Antonio Spurs,Rebounds,3.5,-105,BetMGM,OVER,
Mikal Bridges,New York Knicks,San Antonio Spurs,Rebounds,3.5,-125,BetMGM,UNDER,
Karl-Anthony Towns,New York Knicks,San Antonio Spurs,Rebounds,11.5,-135,BetMGM,OVER,
Karl-Anthony Towns,New York Knicks,San Antonio Spurs,Rebounds,11.5,100,BetMGM,UNDER,
Julian Champagnie,San Antonio Spurs,New York Knicks,Rebounds,5.5,-120,BetMGM,OVER,
Julian Champagnie,San Antonio Spurs,New York Knicks,Rebounds,5.5,-110,BetMGM,UNDER,
Devin Vassell,San Antonio Spurs,New York Knicks,Rebounds,4.5,100,BetMGM,OVER,
Devin Vassell,San Antonio Spurs,New York Knicks,Rebounds,4.5,-135,BetMGM,UNDER,
Jalen Brunson,New York Knicks,San Antonio Spurs,Assists,6.5,-125,BetMGM,OVER,
Jalen Brunson,New York Knicks,San Antonio Spurs,Assists,6.5,-105,BetMGM,UNDER,
Victor Wembanyama,San Antonio Spurs,New York Knicks,Assists,3.5,130,BetMGM,OVER,
Victor Wembanyama,San Antonio Spurs,New York Knicks,Assists,3.5,-175,BetMGM,UNDER,
Josh Hart,New York Knicks,San Antonio Spurs,Assists,4.5,-120,BetMGM,OVER,
Josh Hart,New York Knicks,San Antonio Spurs,Assists,4.5,-110,BetMGM,UNDER,
Devin Vassell,San Antonio Spurs,New York Knicks,Assists,2.5,130,BetMGM,OVER,
Devin Vassell,San Antonio Spurs,New York Knicks,Assists,2.5,-175,BetMGM,UNDER,
De'Aaron Fox,San Antonio Spurs,New York Knicks,Assists,6.5,130,BetMGM,OVER,
De'Aaron Fox,San Antonio Spurs,New York Knicks,Assists,6.5,-175,BetMGM,UNDER,
Devin Vassell,San Antonio Spurs,New York Knicks,3-Pointers,2.5,-115,BetMGM,OVER,
Devin Vassell,San Antonio Spurs,New York Knicks,3-Pointers,2.5,-115,BetMGM,UNDER,
De'Aaron Fox,San Antonio Spurs,New York Knicks,3-Pointers,1.5,115,BetMGM,OVER,
De'Aaron Fox,San Antonio Spurs,New York Knicks,3-Pointers,1.5,-155,BetMGM,UNDER,
Mikal Bridges,New York Knicks,San Antonio Spurs,3-Pointers,1.5,-120,BetMGM,OVER,
Mikal Bridges,New York Knicks,San Antonio Spurs,3-Pointers,1.5,-110,BetMGM,UNDER,
Jalen Brunson,New York Knicks,San Antonio Spurs,3-Pointers,2.5,115,BetMGM,OVER,
Jalen Brunson,New York Knicks,San Antonio Spurs,3-Pointers,2.5,-150,BetMGM,UNDER,
Stephon Castle,San Antonio Spurs,New York Knicks,3-Pointers,1.5,120,BetMGM,OVER,
Stephon Castle,San Antonio Spurs,New York Knicks,3-Pointers,1.5,-160,BetMGM,UNDER,
