Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Josh Hart,New York Knicks,San Antonio Spurs,Points,11.5,100,DraftKings,OVER,,0.0,0
Josh Hart,New York Knicks,San Antonio Spurs,Points,11.5,-128,DraftKings,UNDER,,0.0,1
Victor Wembanyama,San Antonio Spurs,New York Knicks,Points,27.5,-106,FanDuel,OVER,,29.0,1
Victor Wembanyama,San Antonio Spurs,New York Knicks,Points,27.5,-107,DraftKings,OVER,,29.0,1
Victor Wembanyama,San Antonio Spurs,New York Knicks,Points,27.5,-125,FanDuel,UNDER,,29.0,0
Victor Wembanyama,San Antonio Spurs,New York Knicks,Points,27.5,-119,DraftKings,UNDER,,29.0,0
Mitchell Robinson,New York Knicks,San Antonio Spurs,Points,3.5,-107,DraftKings,OVER,,7.0,1
Mitchell Robinson,New York Knicks,San Antonio Spurs,Points,3.5,-119,DraftKings,UNDER,,7.0,0
Luke Kornet,San Antonio Spurs,New York Knicks,Points,2.5,142,DraftKings,OVER,,1.0,0
Luke Kornet,San Antonio Spurs,New York Knicks,Points,2.5,-182,DraftKings,UNDER,,1.0,1
Karl-Anthony Towns,New York Knicks,San Antonio Spurs,Points,16.5,-122,FanDuel,OVER,,21.0,1
Karl-Anthony Towns,New York Knicks,San Antonio Spurs,Points,16.5,-106,DraftKings,OVER,,21.0,1
Karl-Anthony Towns,New York Knicks,San Antonio Spurs,Points,16.5,-108,FanDuel,UNDER,,21.0,0
Karl-Anthony Towns,New York Knicks,San Antonio Spurs,Points,16.5,-121,DraftKings,UNDER,,21.0,0
Keldon Johnson,San Antonio Spurs,New York Knicks,Points,6.5,-102,DraftKings,OVER,,3.0,0
Keldon Johnson,San Antonio Spurs,New York Knicks,Points,6.5,-125,DraftKings,UNDER,,3.0,1
Mikal Bridges,New York Knicks,San Antonio Spurs,Points,11.5,-126,DraftKings,OVER,,20.0,1
Mikal Bridges,New York Knicks,San Antonio Spurs,Points,11.5,-101,DraftKings,UNDER,,20.0,0
Jalen Brunson,New York Knicks,San Antonio Spurs,Points,25.5,-106,FanDuel,OVER,,20.0,0
Jalen Brunson,New York Knicks,San Antonio Spurs,Points,25.5,-114,DraftKings,OVER,,20.0,0
Jalen Brunson,New York Knicks,San Antonio Spurs,Points,25.5,-125,FanDuel,UNDER,,20.0,1
Jalen Brunson,New York Knicks,San Antonio Spurs,Points,25.5,-111,DraftKings,UNDER,,20.0,1
OG Anunoby,New York Knicks,San Antonio Spurs,Points,14.5,-128,FanDuel,OVER,,17.0,1
OG Anunoby,New York Knicks,San Antonio Spurs,Points,14.5,-127,DraftKings,OVER,,17.0,1
OG Anunoby,New York Knicks,San Antonio Spurs,Points,14.5,-104,FanDuel,UNDER,,17.0,0
OG Anunoby,New York Knicks,San Antonio Spurs,Points,14.5,-101,DraftKings,UNDER,,17.0,0
Miles McBride,New York Knicks,San Antonio Spurs,Points,5.5,-109,DraftKings,OVER,,5.0,0
Miles McBride,New York Knicks,San Antonio Spurs,Points,5.5,-117,DraftKings,UNDER,,5.0,1
Luke Kornet,San Antonio Spurs,New York Knicks,Rebounds,2.5,124,DraftKings,OVER,,3.0,1
Luke Kornet,San Antonio Spurs,New York Knicks,Rebounds,2.5,-164,DraftKings,UNDER,,3.0,0
Miles McBride,New York Knicks,San Antonio Spurs,Rebounds,1.5,135,DraftKings,OVER,,2.0,1
Miles McBride,New York Knicks,San Antonio Spurs,Rebounds,1.5,-179,DraftKings,UNDER,,2.0,0
OG Anunoby,New York Knicks,San Antonio Spurs,Rebounds,5.5,110,FanDuel,OVER,,4.0,0
OG Anunoby,New York Knicks,San Antonio Spurs,Rebounds,5.5,100,DraftKings,OVER,,4.0,0
OG Anunoby,New York Knicks,San Antonio Spurs,Rebounds,5.5,-146,FanDuel,UNDER,,4.0,1
OG Anunoby,New York Knicks,San Antonio Spurs,Rebounds,5.5,-131,DraftKings,UNDER,,4.0,1
Karl-Anthony Towns,New York Knicks,San Antonio Spurs,Rebounds,10.5,-146,FanDuel,OVER,,13.0,1
Karl-Anthony Towns,New York Knicks,San Antonio Spurs,Rebounds,10.5,-131,DraftKings,OVER,,13.0,1
Karl-Anthony Towns,New York Knicks,San Antonio Spurs,Rebounds,10.5,110,FanDuel,UNDER,,13.0,0
